READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wtslew mode data
105.982593502977	0.358138492232399	-0.440678520283598	5.71942241771169e-08	1.33773221836253e-08	-1.33773221836253e-08
106.631861612398	0.26572433283377	-0.291129617189227	7.89415453121199e-08	1.84638658974238e-08	-1.84638658974238e-08
107.205637533086	0.261270461763573	-0.308051587854436	7.54889500457472e-08	1.76563284246732e-08	-1.76563284246732e-08
107.7776232297	0.285219752218126	-0.310715234849866	6.85556167329112e-08	1.60346710831023e-08	-1.60346710831023e-08
108.469570116512	0.331638873211404	-0.406727134593609	5.35475990617921e-08	1.2524402509437e-08	-1.2524402509437e-08
109.079779593149	0.367254365389357	-0.278570603425635	5.76097505693017e-08	1.34745108509082e-08	-1.34745108509082e-08
109.874855476415	0.374552487441477	-0.427821517876524	4.58267112671427e-08	1.07185417768428e-08	-1.07185417768428e-08
110.654290495877	0.402829486469443	-0.404882532020551	4.55365888242991e-08	1.06506842012491e-08	-1.06506842012491e-08
111.459447614571	0.3947233802906	-0.402327632225408	4.48799119524017e-08	1.04970921521866e-08	-1.04970921521866e-08
112.233589979283	0.365998014442155	-0.379418984420838	4.69404335050104e-08	1.09790334858113e-08	-1.09790334858113e-08
113.078903244829	0.417463749654956	-0.479315251104055	3.92011162661615e-08	9.16886223731681e-09	-9.16886223731681e-09
114.280335437336	0.793223548851373	-0.783968442851616	4.32654096482509e-08	9.43134298126963e-09	-9.43134298126963e-09
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
120.591127	0.276742	-0.354850	4.47494052410578e-08	5.56160908762998e-09	-5.56160908762998e-09
121.187449	0.360048	-0.319581	4.13689833396311e-08	5.18417334890146e-09	-5.18417334890146e-09
121.773937	0.346442	-0.226439	5.11414854622827e-08	6.25255105811578e-09	-6.25255105811578e-09
122.448634	0.301551	-0.328256	4.74357567291314e-08	5.89836596138604e-09	-5.89836596138604e-09
123.049764	0.314209	-0.299579	4.92780667695186e-08	6.12444668394087e-09	-6.12444668394087e-09
123.677214	0.272094	-0.313240	5.39429203623017e-08	6.49396444041012e-09	-6.49396444041012e-09
124.223352	0.277502	-0.274044	5.51128012138258e-08	6.90648624735622e-09	-6.90648624735622e-09
124.757494	0.275321	-0.256640	5.77446119306332e-08	7.17669786447887e-09	-7.17669786447887e-09
125.280767	0.294684	-0.247952	5.83105047557029e-08	7.08089702191452e-09	-7.08089702191452e-09
125.827591	0.256682	-0.252140	6.88038441967368e-08	7.90627497200088e-09	-7.90627497200088e-09
126.380353	0.273233	-0.296080	5.05671937799441e-08	6.4976850947388e-09	-6.4976850947388e-09
126.947715	0.225377	-0.294130	5.95407541072319e-08	7.3543817650066e-09	-7.3543817650066e-09
127.464463	0.322431	-0.291371	4.73116110958422e-08	6.07935556129198e-09	-6.07935556129198e-09
128.071414	0.249219	-0.284520	6.00345254479929e-08	7.24111860955078e-09	-7.24111860955078e-09
128.580584	0.245339	-0.259951	7.4591429556438e-08	8.24228261289356e-09	-8.24228261289356e-09
129.120208	0.269699	-0.294286	5.40344993172992e-08	6.66056132620118e-09	-6.66056132620118e-09
129.636674	0.269183	-0.246767	6.26750448177715e-08	7.44337227068265e-09	-7.44337227068265e-09
130.172116	0.281713	-0.266260	5.35258310672197e-08	6.82034120010807e-09	-6.82034120010807e-09
130.673953	0.306499	-0.220124	6.78138011079243e-08	7.58655994170116e-09	-7.58655994170116e-09
131.261204	0.302804	-0.280752	4.85438031272208e-08	6.23768739622762e-09	-6.23768739622762e-09
131.881483	0.267858	-0.317475	4.83714174743975e-08	6.11227963884715e-09	-6.11227963884715e-09
132.462713	0.264834	-0.313373	5.00882250020267e-08	6.12377958774361e-09	-6.12377958774361e-09
132.964906	0.273243	-0.237359	5.58033256149575e-08	6.99587752126895e-09	-6.99587752126895e-09
133.521955	0.289064	-0.283806	4.85089346450459e-08	6.12965645233477e-09	-6.12965645233477e-09
134.092300	0.254248	-0.281281	4.94719269810845e-08	6.19959751315936e-09	-6.19959751315936e-09
134.643055	0.304840	-0.296507	4.20892147073986e-08	5.23099157172227e-09	-5.23099157172227e-09
135.266907	0.285894	-0.319012	4.005151774461e-08	4.9777396290092e-09	-4.9777396290092e-09
135.845657	0.310270	-0.292857	4.08504650703064e-08	4.99437229352266e-09	-4.99437229352266e-09
136.468551	0.306514	-0.312624	4.01785537366472e-08	4.87236532914797e-09	-4.87236532914797e-09
137.211766	0.435074	-0.436701	2.93670643042904e-08	3.56127968487899e-09	-3.56127968487899e-09
137.951536	0.309105	-0.304696	4.2149525504792e-08	5.28198737748798e-09	-5.28198737748798e-09
138.580951	0.325515	-0.320310	4.1895317166153e-08	5.12211574815492e-09	-5.12211574815492e-09
139.225958	0.317437	-0.319492	4.10360820514417e-08	5.05831174570823e-09	-5.05831174570823e-09
