#GRB	Trigger
080822B	321376
080810	319584
080805	319036
080804	319016
080802	318832
080727C	318170
080727B	318101
080727A	318094
080725	317888
080723A	317662
080721	317508
080714	316910
080710	316534
080707	316204
080703	315819
#080702B	BATSS
080702A	315710
080701	315615
080623	315080
080613B	313954
080607	313417
080605	313299
080604	313116
080603B	313087
080602	312958
080524	312277
080523	312242
080520	312047
080517	311874
080516	311762
080515	311658
080506	311159
080503	310785
080430	310613
080426	310219
080413B	309111
080413A	309096
080411	309010
080409	308812
080330	308041
080328	307931
080325	307604
080320	306858
080319D	306793
080319C	306778
080319B	306757
080319A	306754
080315	306323
080310	305288
080307	305011
080303	304549
080229A	304379
080218B	303631
080218A	303609
080212	303105
080210	302888
080207	302728
080205	302506
#080130	BATSS
080129	301981
080123	301578
080121	301491
071227	299787
071129	297628
071122	297114
071118	296856
071117	296805
071112C	296504
071112B	296503
071101	295779
071031	295670
071028B	295492
071028A	295527
071025	295301
071021	294974
071020	294835
071018	294645
071013	294120
071011	293924
071010C	293804
071010B	293795
071010A	293707
071008	293587
071006	293250
071003	292934
071001	292826
070923	292004
070920B	291728
070920A	291614
070917	291292
070913	290843
070911	290624
070810B	287409
070810A	287364
070809	287344
070808	287260
070805	287088
070802	286809
070731	286574
070729	286373
070724A	285948
070721B	285654
070721A	285653
070714B	284856
070714A	284850
070704	283791
070628	283320
070621	282808
070616	282445
070612B	282073
070612A	282066
070611	282003
070531	280958
070529	280706
070521	279935
070520B	279898
070520A	279817
070518	279592
070517	279494
070509	278903
070508	278854
070506	278693
070429B	277582
070429A	277571
070427	277356
070420	276321
070419B	276212
070419A	276205
070412	275119
070411	275087
070406	274153
070330	273180
070328	272773
070326	BATSS
070318	271019
070306	263361
070227	262347
070224	261880
070223	261664
070220	261299
070219	261132
070209	259803
070208	259714
070129	258408
070126	257741
070110	255445
070107	255029
070103	254532
061222B	252593
061222A	252588
061218	251863
061217	251634
061210	243690
061202	241963
061201	241840
061126	240766
061121	239899
061110B	238174
061110A	238108
061102	236430
061028	235715
061027	235645
061021	234905
061019	234516
061007	232683
061006	232585
061004	232339
061002	231974
060929	231702
060927	231362
060926	231231
060923C	230711
060923B	230702
060923A	230662
060919	230115
060912A	229185
060908	228581
060906	228316
060904B	228006
060904A	227996
060825	226382
060814	224552
060813	224364
060807	223217
060805A	222683
060804	222546
060801	222154
060729	221755
060728	221627
060719	220020
060717	219646
060714	219101
060712	218582
060708	217805
060707	217704
060614	214805
060607B	213934
060607A	213823
060605	213630
060604	213486
060602A	213180
060526	211957
060522	211117
060516	210254
060515	210084
060512	209755
060510B	209352
060510A	209351
060507	208870
060505	208654
060502B	208275
060502A	208169
060501	208050
060428B	207399
060428A	207364
060427	207281
060424	206773
060421	206257
060418	205851
060413	205096
060403	203755
060323	202505
060322	202442
060319	202035
060313	201487
060312	201391
060306	200638
060223B	192152
060223A	192059
060219	191512
060218	191157
060211B	181156
060211A	181126
060210	180977
060206	180455
060204B	180241
060203	180151
060202	179968
060124	178750
#060123	
060121  020027
060117	177666
060116	177533
060115	177408
060111B	176918
060111A	176818
060110	176702
060109	176620
060108	176453
060105	175942
060102	175603
051227	174738
051221B	173904
051221A	173780
051213	172516
051210	171931
051117B	164279
051117A	164268
051114	163844
051113	163765
051111	163438
051109B	163170
051109A	163136
051105A	162580
051021B	160672
051016B	159994
051016A	159913
051012	159413
051008	158855
051006	158593
051001	157870
050925	156838
050922C	156467
050922B	156434
050916	155408
050915B	155284
050915A	155242
050911	154630
050908	154112
050906	153866
050904	153514
050827	152325
050826	152113
050824	151905
050822	151486
050820B	151334
050820A	151207
050819	151131
050815	150532
050814	150314
050813	150139
050803	148833
050802	148646
050801	148522
050730	148225
050726	147788
050724	147478
050721	146970
050717	146372
050716	146227
050715	146129
050714B	145994
050713B	145754
050713A	145675
050712	145581
050701	143708
050607	132247
050603	131560
050528	130679
050525A	130088
050509B	118749
050509A	118707
050507	118248
050505	117504
050502B	116116
050422	115214
050421	115135
050418	114893
050416B	114797
050416A	114753
050412	114485
050410	114298
050406	113872
050401	113120
050326	112453
050319	111622
050318	111529
050315	111063
050306	107547
050223	106709
050219B	106442
050219A	106415
050215B	106107
050215A	106106
050202	104298
050128	103906
050126	103780
050124	103647
050117	102861
041228	100970
041226	100815
041224	100703
041223	100585
041220	100433
041219C	100380
041219B	100367
041219A	100307
041217	100116
051022  020019
070125  020047
080916C 020082
090323  020102
090328  020103
090902B 020111
090926A 020113
091003  020115
100414A 020136
110918A 020186
120711A 020223
130606B 020283
130502B 020266
