READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
126.410368	18.610304	-29.028805	4.31589410238887e-11	9.41805933195785e-12	-9.41805933195785e-12
164.190250	15.932922	-19.169578	5.61431070049689e-11	1.25971149017242e-11	-1.25971149017242e-11
200.232341	32.544611	-20.109169	3.77060953754999e-11	8.46028829533362e-12	-8.46028829533362e-12
255.138417	22.770314	-22.361466	4.40923722728799e-11	9.85936924604923e-12	-9.85936924604923e-12
296.201451	21.824401	-18.292719	4.78966334124523e-11	1.07100310532813e-11	-1.07100310532813e-11
346.026393	29.667838	-28.000542	3.36286640880707e-11	7.36239489197313e-12	-7.36239489197313e-12
417.240966	48.716826	-41.546734	1.97294296978465e-11	4.45738128653984e-12	-4.45738128653984e-12
498.743763	27.389749	-32.785971	2.16709154617333e-11	4.87956581107003e-12	-4.87956581107003e-12
556.140624	32.675887	-30.007113	1.34420034503184e-11	3.03767715324855e-12	-3.03767715324855e-12
608.850282	30.112630	-20.033770	2.28947152322342e-11	5.15513094595549e-12	-5.15513094595549e-12
709.363973	37.413678	-70.401062	1.65112457364951e-11	3.62669298931036e-12	-3.62669298931036e-12
795.912734	28.591858	-49.135082	2.13494519975418e-11	4.84014632738072e-12	-4.84014632738072e-12
863.355754	31.353758	-38.851162	1.32585303931512e-11	2.98561520103558e-12	-2.98561520103558e-12
948.530856	48.978655	-53.821345	7.79024477433241e-12	1.74807460515605e-12	-1.74807460515605e-12
1043.960927	48.826665	-46.451415	8.38636351647491e-12	1.87523843280481e-12	-1.87523843280481e-12
1150.614151	49.988000	-57.826560	7.29430516716506e-12	1.64838222137627e-12	-1.64838222137627e-12
1243.651458	52.228714	-43.049306	8.31259228049566e-12	1.87187888427331e-12	-1.87187888427331e-12
1366.171239	75.133192	-70.291068	5.50864172411284e-12	1.23177230861373e-12	-1.23177230861373e-12
1485.767797	48.307235	-44.463365	8.64107852032913e-12	1.93900601914743e-12	-1.93900601914743e-12
1586.317382	48.050129	-52.242351	8.01869198355235e-12	1.79934651897579e-12	-1.79934651897579e-12
1704.157995	108.228697	-69.790483	4.51787556112086e-12	1.01735804796488e-12	-1.01735804796488e-12
1886.439663	119.009948	-74.052972	3.51174632866891e-12	8.73325250372428e-13	-8.73325250372428e-13
2143.786469	132.444923	-138.336857	4.58779400008917e-12	8.41544003805883e-13	-8.41544003805883e-13
5595.068495	214.679057	-131.330812	2.41046604299475e-12	6.34727228265688e-13	-6.34727228265688e-13
6016.725553	144.046659	-206.978001	2.42597960899495e-12	6.3194573652694e-13	-6.3194573652694e-13
6433.010651	209.166600	-272.238440	1.78561101096313e-12	4.65138154295758e-13	-4.65138154295758e-13
6843.460864	277.613607	-201.283613	1.81753059233391e-12	4.71786985031277e-13	-4.71786985031277e-13
7496.758839	562.034344	-375.684368	1.62244771708436e-12	3.21172479428358e-13	-3.21172479428358e-13
17657.622644	7742.243748	-4538.959892	5.29239798274e-13	1.19069065154411e-13	-1.19069065154411e-13
490789.625854	326215.235217	-424978.650571	1.65703350177974e-14	8.61481608352329e-15	-8.61481608352329e-15
