READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
168.579310	6.299982	-8.743946	1.80542511881631e-09	4.09798603421818e-10	-4.09798603421818e-10
181.960397	7.962755	-7.081105	1.87256198995764e-09	3.99052949639513e-10	-3.99052949639513e-10
196.158051	6.301681	-6.234899	2.06037606112672e-09	4.35246161810197e-10	-4.35246161810197e-10
211.907619	10.610613	-9.447887	9.9401527985154e-10	2.30249641874126e-10	-2.30249641874126e-10
238.442378	11.656314	-15.924146	7.02216552341808e-10	1.51074879951373e-10	-1.51074879951373e-10
260.661175	9.496037	-10.562483	9.7719464082986e-10	2.06428464570414e-10	-2.06428464570414e-10
280.298665	9.917027	-10.141453	8.88117714115554e-10	1.94722700973998e-10	-1.94722700973998e-10
295.746358	4.498633	-5.530667	2.61880303689703e-09	4.71860652237763e-10	-4.71860652237763e-10
304.995842	5.278430	-4.750850	2.93882844990039e-09	5.02445860113358e-10	-5.02445860113358e-10
315.473940	7.336912	-5.199668	2.1364279508062e-09	3.88685898626995e-10	-3.88685898626995e-10
327.969620	4.870452	-5.158768	3.15447555527803e-09	5.628699302505e-10	-5.628699302505e-10
337.424434	5.444898	-4.584362	3.80664718358908e-09	6.37955908883802e-10	-6.37955908883802e-10
349.530925	8.382287	-6.661593	1.97909190792691e-09	3.64949499904143e-10	-3.64949499904143e-10
364.161221	6.288570	-6.248010	2.50034202008349e-09	4.33865652069547e-10	-4.33865652069547e-10
376.767607	8.726104	-6.317816	1.9559318398346e-09	3.44625407287067e-10	-3.44625407287067e-10
393.753346	11.798866	-8.259634	8.75983938513651e-10	1.97681867385038e-10	-1.97681867385038e-10
416.195095	11.922956	-10.642884	7.88733139354533e-10	1.74588030363705e-10	-1.74588030363705e-10
437.328113	5.833798	-9.210062	1.27790695026254e-09	2.73684490225563e-10	-2.73684490225563e-10
454.202691	9.017741	-11.040779	1.08504011339571e-09	2.17872336274651e-10	-2.17872336274651e-10
472.701049	8.070582	-9.480618	1.14175240647784e-09	2.38978881295814e-10	-2.38978881295814e-10
490.768567	10.061625	-9.996935	8.30120867596743e-10	1.89374318777317e-10	-1.89374318777317e-10
525.430440	40.589912	-24.600248	2.55848596222836e-10	5.83664420799451e-11	-5.83664420799451e-11
619.607827	44.197805	-53.587475	9.09039272793289e-11	1.9936482829155e-11	-1.9936482829155e-11
754.153248	152.861824	-90.347616	2.06772632365353e-11	4.69748650330366e-12	-4.69748650330366e-12
1459.468747	4235.376325	-552.453675	9.10820262019835e-12	1.72836891073626e-12	-1.72836891073626e-12
14544.609487	2182.951164	-3119.106936	2.38969960021306e-12	5.74124129646828e-13	-5.74124129646828e-13
36551.217208	45117.528044	-8805.307296	6.00680154742399e-13	1.60535454932581e-13	-1.60535454932581e-13
