READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wtslew mode data
70.7242435362176	0.391826453089791	-0.422913523045509	4.16460838074101e-09	1.03883584738802e-09	-1.03883584738802e-09
71.5471591102945	0.728993874904504	-0.431089120987096	2.64991990901453e-09	6.58435142372396e-10	-6.58435142372396e-10
72.7719487889325	0.361670178703548	-0.495795803733543	4.49517020400502e-09	1.12129245324143e-09	-1.12129245324143e-09
73.8629270259445	0.766921947909566	-0.729308058308433	2.12037802920205e-09	5.28915207714469e-10	-5.28915207714469e-10
75.1582248859036	0.688566100260459	-0.52837591204954	2.5672260846467e-09	6.40378696209137e-10	-6.40378696209137e-10
76.5274457041131	0.479354308578408	-0.680654717948997	2.47331001781032e-09	6.16951913194797e-10	-6.16951913194797e-10
78.042473036278	1.3973089275472	-1.0356730235865	1.92436753047517e-09	4.42968393243443e-10	-4.42968393243443e-10
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
87.979850	0.931231	-1.184159	1.24996502273051e-09	1.91751600236212e-10	-1.91751600236212e-10
90.050957	0.918561	-1.139876	1.30675547810919e-09	1.97599912307021e-10	-1.97599912307021e-10
91.897192	0.894158	-0.927673	1.52314214931945e-09	2.27056602691198e-10	-2.27056602691198e-10
93.695380	0.618869	-0.904030	1.82107058299487e-09	2.75371665669029e-10	-2.75371665669029e-10
95.050230	0.569903	-0.735981	2.06228912893326e-09	3.16366580596581e-10	-3.16366580596581e-10
96.753348	0.925239	-1.133215	1.28425185398148e-09	1.97011387807388e-10	-1.97011387807388e-10
98.501327	0.725074	-0.822740	1.68790091842311e-09	2.62716843816546e-10	-2.62716843816546e-10
99.979348	0.677476	-0.752947	1.87132443325195e-09	2.82970785273398e-10	-2.82970785273398e-10
101.963162	1.123918	-1.306337	1.10986985759324e-09	1.67828025648516e-10	-1.67828025648516e-10
104.584009	1.157538	-1.496929	1.04114938886646e-09	1.55205361137123e-10	-1.55205361137123e-10
106.979322	1.325936	-1.237775	1.11066860896088e-09	1.65568691749596e-10	-1.65568691749596e-10
109.105589	0.921840	-0.800330	1.66497074254654e-09	2.48199162956226e-10	-2.48199162956226e-10
112.030607	1.695626	-2.003179	7.53974811808095e-10	1.14011690819833e-10	-1.14011690819833e-10
115.394496	2.219097	-1.668262	7.02684782397136e-10	1.07795767067102e-10	-1.07795767067102e-10
119.210902	1.695844	-1.597310	8.60544672825223e-10	1.30126553335178e-10	-1.30126553335178e-10
123.046218	1.600236	-2.139472	7.77042655572504e-10	1.17499876393241e-10	-1.17499876393241e-10
126.634851	1.539593	-1.988397	8.34044254805873e-10	1.24331984216019e-10	-1.24331984216019e-10
129.623158	1.495741	-1.448714	9.70056921273282e-10	1.44607549888828e-10	-1.44607549888828e-10
133.387585	2.132848	-2.268685	6.26229350442877e-10	9.33527477495711e-11	-9.33527477495711e-11
136.967869	1.409838	-1.447436	9.51196816016727e-10	1.43834406855799e-10	-1.43834406855799e-10
140.130192	1.558450	-1.752484	8.41288027637883e-10	1.25411795264868e-10	-1.25411795264868e-10
143.633012	1.498232	-1.944371	8.06614380338708e-10	1.21971495653208e-10	-1.21971495653208e-10
146.693469	1.458704	-1.562225	9.24201696053148e-10	1.37771827101235e-10	-1.37771827101235e-10
149.470730	1.131309	-1.318558	1.10553257235809e-09	1.69594834596978e-10	-1.69594834596978e-10
151.331265	0.711853	-0.729226	1.91319493706918e-09	2.85202273378272e-10	-2.85202273378272e-10
153.349101	0.985535	-1.305984	1.18134208798905e-09	1.78635683190759e-10	-1.78635683190759e-10
155.404581	1.107679	-1.069945	1.25419043888222e-09	1.86963682377556e-10	-1.86963682377556e-10
157.667813	0.966947	-1.155553	1.26536531546945e-09	1.91341149546795e-10	-1.91341149546795e-10
159.726357	1.191017	-1.091597	1.19248039192174e-09	1.77764451375665e-10	-1.77764451375665e-10
162.050992	1.316219	-1.133618	1.09982279305145e-09	1.66308814109363e-10	-1.66308814109363e-10
164.152692	0.767693	-0.785480	1.7508594257591e-09	2.61002739411152e-10	-2.61002739411152e-10
166.178846	0.954775	-1.258462	1.21145570460381e-09	1.83189256319296e-10	-1.83189256319296e-10
168.294275	0.933371	-1.160654	1.28016740945573e-09	1.93579439070249e-10	-1.93579439070249e-10
170.940958	1.037187	-1.713312	9.84490022486542e-10	1.46759107567874e-10	-1.46759107567874e-10
173.203603	1.436121	-1.225457	1.02390774582898e-09	1.52635147186386e-10	-1.52635147186386e-10
175.823483	1.001003	-1.183759	1.24100298294015e-09	1.87657243049479e-10	-1.87657243049479e-10
177.779289	1.208595	-0.954804	1.24488770239545e-09	1.88244655497955e-10	-1.88244655497955e-10
180.073805	1.031236	-1.085920	1.27841857940552e-09	1.90575373373289e-10	-1.90575373373289e-10
182.450490	1.182684	-1.345449	1.05950250214354e-09	1.60211773673029e-10	-1.60211773673029e-10
