READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
343.280350	1.936746	-2.400741	3.73333661858349e-10	7.06146840455304e-11	-7.06146840455304e-11
347.824840	2.916425	-2.607744	2.93695732610829e-10	5.55514773389042e-11	-5.55514773389042e-11
352.439602	1.696209	-1.698338	4.85413860708598e-10	9.01962817894547e-11	-9.01962817894547e-11
357.820158	3.172372	-3.684347	2.3776803616948e-10	4.49729767740571e-11	-4.49729767740571e-11
364.184458	2.670251	-3.191928	2.89369087725673e-10	5.28312969546745e-11	-5.28312969546745e-11
368.444944	1.629975	-1.590236	5.30162522066126e-10	9.67940102704394e-11	-9.67940102704394e-11
372.520061	1.714434	-2.445142	4.15635944270034e-10	7.58843690585901e-11	-7.58843690585901e-11
377.811841	2.711816	-3.577346	2.70820166467889e-10	5.12246530245617e-11	-5.12246530245617e-11
382.409331	1.466192	-1.885675	5.09010324857636e-10	9.45808165412153e-11	-9.45808165412153e-11
386.660976	2.082216	-2.785452	3.47668555379464e-10	6.34753119154269e-11	-6.34753119154269e-11
391.716008	2.222193	-2.972816	3.15084752904408e-10	5.85468801954408e-11	-5.85468801954408e-11
397.091588	2.454403	-3.153387	2.85434722111134e-10	5.39889505826765e-11	-5.39889505826765e-11
401.967870	3.006176	-2.421878	2.98283531492674e-10	5.54250066287194e-11	-5.54250066287194e-11
407.617127	2.343789	-2.643081	3.27816352865047e-10	5.9850784489861e-11	-5.9850784489861e-11
412.841763	3.370988	-2.880847	2.65200966448157e-10	4.84188490080781e-11	-4.84188490080781e-11
419.159865	2.399110	-2.947114	3.15303104835505e-10	5.75662134200142e-11	-5.75662134200142e-11
423.935579	2.341630	-2.376604	3.51419568143725e-10	6.64697334428967e-11	-6.64697334428967e-11
428.872810	2.394807	-2.595601	3.40580970862516e-10	6.2181292154032e-11	-6.2181292154032e-11
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
447.696541	9.284931	-10.773509	2.05962605369767e-10	4.50526939918411e-11	-4.50526939918411e-11
465.128604	9.404008	-8.147132	2.30878498437962e-10	5.08692458961838e-11	-5.08692458961838e-11
488.869637	13.243295	-14.337025	1.48132962439796e-10	3.23252601167651e-11	-3.23252601167651e-11
515.867646	8.811046	-13.754714	1.79582959711183e-10	3.93768906923154e-11	-3.93768906923154e-11
538.431502	8.812929	-13.752811	1.81242428607689e-10	3.97407785660032e-11	-3.97407785660032e-11
561.255142	11.062309	-14.010711	1.596004160684e-10	3.60504622605472e-11	-3.60504622605472e-11
584.131552	10.751659	-11.814101	2.02560665096013e-10	4.32850828591003e-11	-4.32850828591003e-11
603.271075	6.655976	-8.387864	2.69009340214045e-10	6.06097283492658e-11	-6.06097283492658e-11
622.008864	10.483907	-12.081813	1.85032733664046e-10	4.05718854363789e-11	-4.05718854363789e-11
645.849334	11.716497	-13.356563	1.5616443442428e-10	3.50074916709391e-11	-3.50074916709391e-11
673.921156	13.732316	-16.355324	1.35295965657582e-10	2.95948933621412e-11	-2.95948933621412e-11
697.463187	15.263345	-9.809715	1.60660205809731e-10	3.5227749496275e-11	-3.5227749496275e-11
738.225189	29.662003	-25.498657	1.17508858708129e-10	2.03056879871827e-11	-2.03056879871827e-11
4025.740255	37.528956	-27.661032	2.22400089344691e-11	4.98487015430216e-12	-4.98487015430216e-12
4091.185363	29.751928	-27.916152	2.51993138459309e-11	5.63472417043955e-12	-5.63472417043955e-12
4150.805846	30.306825	-29.868554	2.52999645874246e-11	5.53342585762435e-12	-5.53342585762435e-12
4226.464502	37.389369	-45.351831	1.83185615154599e-11	4.02478003149809e-12	-4.02478003149809e-12
4303.167334	28.383898	-39.313462	2.13629337928511e-11	4.79969738684007e-12	-4.79969738684007e-12
4371.493723	32.769409	-39.942491	2.00214677778115e-11	4.48763146328475e-12	-4.48763146328475e-12
4462.862518	34.171074	-58.599386	1.64893097857337e-11	3.63947675045239e-12	-3.63947675045239e-12
4533.099851	26.616460	-36.066260	2.36733387900039e-11	5.29350073992592e-12	-5.29350073992592e-12
4593.914925	23.469507	-34.198613	2.57026075371122e-11	5.7609806619835e-12	-5.7609806619835e-12
4649.285495	28.274337	-31.901063	2.5821758064344e-11	5.63478126833665e-12	-5.63478126833665e-12
4705.622134	19.576598	-28.062302	3.08713441422878e-11	6.91947587414849e-12	-6.91947587414849e-12
4769.261720	48.707492	-44.062988	1.6012427678937e-11	3.59756709892703e-12	-3.59756709892703e-12
4848.526105	27.111207	-30.556893	2.6589372203281e-11	5.94557907268096e-12	-5.94557907268096e-12
4906.670957	41.678355	-31.033645	2.14474445493078e-11	4.80723706722931e-12	-4.80723706722931e-12
4984.398150	44.185082	-36.048838	1.96059937881384e-11	4.38404246263036e-12	-4.38404246263036e-12
5068.155722	33.139490	-39.572490	2.16314683031066e-11	4.87168915973681e-12	-4.87168915973681e-12
5126.402477	27.546235	-25.107265	3.09318836566482e-11	6.74991605695213e-12	-6.74991605695213e-12
5194.889460	41.800492	-40.940749	1.8209347300714e-11	4.09116922105838e-12	-4.09116922105838e-12
5279.941603	19.431088	-43.251652	2.45598321797126e-11	5.37155825523489e-12	-5.37155825523489e-12
5335.187605	41.911626	-35.814914	1.97110600120597e-11	4.32087185306091e-12	-4.32087185306091e-12
5424.035415	50.848797	-46.936183	1.47208739665964e-11	3.34736675692669e-12	-3.34736675692669e-12
5529.392632	40.769280	-54.508420	1.6824992751786e-11	3.59485107127388e-12	-3.59485107127388e-12
5628.760447	44.201045	-58.598535	1.55370424300996e-11	3.3269101391663e-12	-3.3269101391663e-12
5719.143506	44.081046	-46.182014	1.60976786181099e-11	3.60811540472786e-12	-3.60811540472786e-12
5797.671503	33.250288	-34.446951	2.13418312573134e-11	4.80647608302283e-12	-4.80647608302283e-12
5869.008220	57.191172	-38.086428	1.59875717534163e-11	3.49670733233534e-12	-3.49670733233534e-12
5963.137126	43.296046	-36.937734	1.84429317179322e-11	4.15361168583869e-12	-4.15361168583869e-12
6045.885534	33.259398	-39.452362	2.07497500098569e-11	4.68434163363316e-12	-4.68434163363316e-12
6120.721726	43.671585	-41.576795	1.78060778538473e-11	4.02947112987018e-12	-4.02947112987018e-12
6207.843453	41.798138	-43.450142	1.74445527441466e-11	3.94765273976785e-12	-3.94765273976785e-12
6295.234946	29.625725	-45.593355	1.96033488933473e-11	4.38343616802173e-12	-4.38343616802173e-12
6388.482958	44.191733	-63.622287	1.34752606042871e-11	3.02032851989074e-12	-3.02032851989074e-12
6491.510677	64.014546	-58.835986	1.30037762367673e-11	2.7844371351329e-12	-2.7844371351329e-12
9933.370520	177.221432	-154.831377	4.59237374038805e-12	1.22076638115243e-12	-1.22076638115243e-12
10322.094409	147.975863	-211.502457	3.92461653761875e-12	1.03312736338618e-12	-1.03312736338618e-12
10704.531117	328.059135	-234.460845	5.24972291617829e-12	1.18807958486971e-12	-1.18807958486971e-12
11717.311290	625.763474	-684.721038	5.27383819756978e-12	8.6397881872363e-13	-8.6397881872363e-13
16752.033142	4614.559981	-1240.508079	3.12620759998525e-12	7.13735687256373e-13	-7.13735687256373e-13
21549.324772	131.329460	-182.731648	2.84565676792039e-12	7.505108743808e-13	-7.505108743808e-13
22265.777546	1649.343246	-585.123314	2.41174853109659e-12	4.59677008980351e-13	-4.59677008980351e-13
27370.738655	237.016176	-281.995784	1.70969918969606e-12	4.49753245942156e-13	-4.49753245942156e-13
28383.179924	821.286547	-775.425093	1.56102353973022e-12	3.13937697358212e-13	-3.13937697358212e-13
33897.282551	1228.194180	-1027.157480	1.02252445825142e-12	2.07040715197134e-13	-2.07040715197134e-13
39490.532614	1627.224569	-833.290662	7.26896759097968e-13	1.54872367712262e-13	-1.54872367712262e-13
45029.753782	359.282890	-581.558798	9.61506829879541e-13	2.55582479065614e-13	-2.55582479065614e-13
46259.318095	804.127817	-870.281423	1.07570119778653e-12	2.06473080585213e-13	-2.06473080585213e-13
51561.963614	1288.418358	-1331.514251	6.19204958718409e-13	1.22738549680682e-13	-1.22738549680682e-13
57407.009780	1230.303612	-1387.629996	4.59773934956079e-13	1.07906664446152e-13	-1.07906664446152e-13
65009.164012	4737.653540	-3204.801369	4.74320920742829e-13	8.18084207808464e-14	-8.18084207808464e-14
83362.264126	4207.415546	-3609.604554	3.72046939210189e-13	8.32629252196227e-14	-8.32629252196227e-14
95917.728649	3224.905543	-5167.295057	3.26505637094341e-13	7.77617442721098e-14	-7.77617442721098e-14
358615.106073	232252.860079	-256246.252749	1.99397129177589e-14	1.32757879739648e-14	-1.32757879739648e-14
