READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
166.766251	0.647670	-0.738275	1.81016615919679e-09	2.73997178054962e-10	-2.73997178054962e-10
168.283908	0.789945	-0.869987	1.5305135488135e-09	2.28155482701471e-10	-2.28155482701471e-10
169.811810	0.713816	-0.737957	1.75096144153498e-09	2.61017928730248e-10	-2.61017928730248e-10
171.302174	0.862032	-0.776549	1.5339106162485e-09	2.3218155335663e-10	-2.3218155335663e-10
173.188450	1.000371	-1.024243	1.24446565391191e-09	1.88369471884859e-10	-1.88369471884859e-10
175.028434	0.686869	-0.839613	1.64639359786079e-09	2.49207645455144e-10	-2.49207645455144e-10
176.534006	0.974662	-0.818703	1.36100882463929e-09	2.02887207776547e-10	-2.02887207776547e-10
178.360080	0.717785	-0.851411	1.4616571641867e-09	2.21244871519911e-10	-2.21244871519911e-10
179.873022	0.969743	-0.795158	1.35099461948958e-09	2.04494332426893e-10	-2.04494332426893e-10
181.457530	0.673327	-0.614765	1.96853650495589e-09	2.93452116039101e-10	-2.93452116039101e-10
183.274690	0.985789	-1.143832	1.15672626091949e-09	1.77806288217564e-10	-1.77806288217564e-10
185.124203	0.627170	-0.863725	1.53802421085887e-09	2.36417551355168e-10	-2.36417551355168e-10
186.443120	0.615916	-0.691747	1.70550176772612e-09	2.58154572370343e-10	-2.58154572370343e-10
187.963355	0.821420	-0.904319	1.28383567947046e-09	2.00433992649702e-10	-2.00433992649702e-10
189.485387	0.792082	-0.700611	1.56777716749399e-09	2.33710447867106e-10	-2.33710447867106e-10
191.065020	1.119680	-0.787552	1.24087593453165e-09	1.8497888837045e-10	-1.8497888837045e-10
193.367083	1.183864	-1.182383	1.00422271847716e-09	1.49700691675591e-10	-1.49700691675591e-10
195.540733	0.803572	-0.989786	1.33093294720265e-09	1.98403744684459e-10	-1.98403744684459e-10
197.141854	0.632862	-0.797549	1.67886375549875e-09	2.50270251608469e-10	-2.50270251608469e-10
198.829632	0.950168	-1.054915	1.20471190256222e-09	1.79587854700256e-10	-1.79587854700256e-10
200.826961	0.836922	-1.047161	1.24325463934663e-09	1.91107019853057e-10	-1.91107019853057e-10
202.572009	0.799842	-0.908127	1.37459988868136e-09	2.08067379983886e-10	-2.08067379983886e-10
204.050211	0.762737	-0.678361	1.72089103623688e-09	2.60483969811624e-10	-2.60483969811624e-10
205.784644	0.935535	-0.971696	1.41467478361428e-09	2.17456848625405e-10	-2.17456848625405e-10
207.597170	0.745566	-0.876991	1.71818909341794e-09	2.56132510061543e-10	-2.56132510061543e-10
209.636561	0.878489	-1.293826	1.12987913040613e-09	1.68432440624514e-10	-1.68432440624514e-10
211.525264	0.941480	-1.010214	1.12253750080686e-09	1.69913736313566e-10	-1.69913736313566e-10
213.346970	0.745898	-0.880226	1.3808348600417e-09	2.09011126096291e-10	-2.09011126096291e-10
215.267825	0.906629	-1.174957	1.10635301997977e-09	1.67463985667233e-10	-1.67463985667233e-10
217.177742	1.153022	-1.003288	1.09523581266624e-09	1.63268091578386e-10	-1.63268091578386e-10
219.277144	0.994654	-0.946380	1.19421169302508e-09	1.83568335760412e-10	-1.83568335760412e-10
221.185041	0.940587	-0.913244	1.29608629174602e-09	1.93209124054058e-10	-1.93209124054058e-10
223.158474	1.201751	-1.032846	1.12674732455343e-09	1.70550979786852e-10	-1.70550979786852e-10
225.298212	1.020839	-0.937987	1.36050542140934e-09	2.02812143957581e-10	-2.02812143957581e-10
227.655120	1.046171	-1.336068	1.08342082691548e-09	1.61506854676077e-10	-1.61506854676077e-10
229.616352	0.956573	-0.915061	1.33648314146222e-09	1.99231138204734e-10	-1.99231138204734e-10
