READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
40913.220164	70.922394	-52.497779	6.00783262606619e-12	2.63736173846446e-12	-2.63736173846446e-12
121068.523618	16.054953	-14.268298	1.95283109448652e-11	1.10845462789475e-11	-1.10845462789475e-11
121112.002721	24.565161	-27.424150	1.76797706231892e-11	1.03071390898392e-11	-1.03071390898392e-11
127245.577571	78.371287	-94.058000	3.26341776832871e-12	2.07732765372324e-12	-2.07732765372324e-12
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
9179.855500	10288.512012	-9104.502008	9.8579540240122e-14	2.82424998602534e-14	-2.82424998602534e-14
29432.852401	7389.708931	-6199.574449	2.01696429717616e-13	5.25847937853101e-14	-5.25847937853101e-14
60552.852836	22551.874895	-20459.267493	6.16961711294324e-14	1.59917248581379e-14	-1.59917248581379e-14
98217.628779	8025.922813	-11977.051496	1.16383880174053e-13	2.97580628661831e-14	-2.97580628661831e-14
122691.451984	18262.035848	-12673.521932	6.80682317694186e-14	2.00394379639062e-14	-2.00394379639062e-14
