READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
588.743531	19.373720	-23.250668	2.43745240701149e-11	5.11187612257782e-12	-5.11187612257782e-12
638.643555	32.156737	-30.526303	1.51862764864164e-11	3.32440708139416e-12	-3.32440708139416e-12
711.336228	57.249604	-40.535936	9.18892689852821e-12	2.08227899852879e-12	-2.08227899852879e-12
805.734926	38.070505	-37.149095	1.19999624276154e-11	2.71019800669435e-12	-2.71019800669435e-12
901.433410	62.723362	-57.627978	7.4701535647845e-12	1.69848199224481e-12	-1.69848199224481e-12
1023.213429	63.802043	-59.056657	7.90906066714853e-12	1.79829390208642e-12	-1.79829390208642e-12
1123.901654	33.318738	-36.886182	1.4853981284809e-11	3.33249809202767e-12	-3.33249809202767e-12
1202.651516	52.354316	-45.431124	1.09360162750916e-11	2.49491573353563e-12	-2.49491573353563e-12
1287.409078	37.801653	-32.403247	1.47838446190582e-11	3.31675735827198e-12	-3.31675735827198e-12
1354.816801	28.062251	-29.606069	1.40410430001842e-11	3.16060291687748e-12	-3.16060291687748e-12
1415.722078	27.332574	-32.843026	8.94221337460675e-12	2.00635827010806e-12	-2.00635827010806e-12
1481.487223	39.294289	-38.432571	7.10471263802919e-12	1.59951994071874e-12	-1.59951994071874e-12
1575.624980	47.954752	-54.843468	9.22809354202188e-12	1.61667879433691e-12	-1.61667879433691e-12
35766.690659	557.437553	-513.184307	6.45790615309119e-13	1.72562755584763e-13	-1.72562755584763e-13
37019.736511	831.332640	-695.608300	5.14536318590207e-13	1.28845490804899e-13	-1.28845490804899e-13
84061.677692	32931.436860	-8223.390120	8.55382355423133e-14	5.00724122976873e-14	-5.00724122976873e-14
