READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
104.132618	3.462677	-3.386911	5.08622515328217e-10	7.91656177689446e-11	-7.91656177689446e-11
110.450669	2.966010	-2.855374	4.73873017371486e-10	8.5788474418603e-11	-8.5788474418603e-11
116.430584	2.878565	-3.013904	4.68986217712067e-10	8.56247822376276e-11	-8.56247822376276e-11
121.501870	3.114358	-2.192721	5.13501145927635e-10	9.37520672056914e-11	-9.37520672056914e-11
128.016840	3.829726	-3.400612	3.57984715129439e-10	6.67760244067079e-11	-6.67760244067079e-11
134.700101	4.074358	-2.853535	3.52207329770606e-10	6.86331594092274e-11	-6.86331594092274e-11
144.333240	4.927363	-5.558782	2.26622081939152e-10	4.41609077985465e-11	-4.41609077985465e-11
156.338609	5.322433	-7.078006	1.88296499426871e-10	3.66925341649597e-11	-3.66925341649597e-11
165.306222	2.857545	-3.645179	3.59970468060976e-10	7.01459655243815e-11	-7.01459655243815e-11
174.744100	6.053176	-6.580333	1.85681907419004e-10	3.61830583233271e-11	-3.61830583233271e-11
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
210.764484	43.788239	-24.174361	1.33844668443421e-10	2.73462712247399e-11	-2.73462712247399e-11
3551.279807	64.959104	-70.435756	7.44121774174174e-12	1.69173778050666e-12	-1.69173778050666e-12
3674.501699	67.102752	-58.262788	8.05843048075766e-12	1.82444718431802e-12	-1.82444718431802e-12
3787.172920	42.187431	-45.568469	1.16315234616818e-11	2.63337431617e-12	-2.63337431617e-12
3881.254398	43.383773	-51.894047	1.14844350652584e-11	2.51595444165301e-12	-2.51595444165301e-12
3984.839404	42.598467	-60.201233	9.97555908893392e-12	2.2584796027515e-12	-2.2584796027515e-12
4075.745962	54.491590	-48.308090	9.7744016396128e-12	2.2037440559703e-12	-2.2037440559703e-12
4179.258795	48.763796	-49.021244	1.01399583206547e-11	2.28618593697913e-12	-2.28618593697913e-12
4308.762804	77.220228	-80.740212	6.51687905025647e-12	1.48159704615392e-12	-1.48159704615392e-12
4450.508752	63.347000	-64.525720	8.45244877743478e-12	1.92161445660205e-12	-1.92161445660205e-12
4593.989538	77.826654	-80.133786	6.95394797716813e-12	1.5743549435241e-12	-1.5743549435241e-12
4739.914750	47.237662	-68.098558	9.64668090141743e-12	2.17498249962744e-12	-2.17498249962744e-12
4842.060088	60.428584	-54.907676	9.27132683426357e-12	2.09903143963141e-12	-2.09903143963141e-12
4980.551002	44.795869	-78.062331	8.31448888252707e-12	1.86684569123598e-12	-1.86684569123598e-12
5085.920442	57.270049	-60.573571	8.44668304799496e-12	1.9043855070202e-12	-1.9043855070202e-12
5217.866545	83.284587	-74.676053	6.32033485140759e-12	1.41325536627941e-12	-1.41325536627941e-12
5497.206791	549.844580	-196.055660	5.7919072186573e-12	9.02898097248011e-13	-9.02898097248011e-13
9524.927806	294.534986	-262.088174	1.39058957834997e-12	3.66424072049169e-13	-3.66424072049169e-13
9988.642711	114.146200	-169.179920	2.77579965997501e-12	7.195932379304e-13	-7.195932379304e-13
10300.466499	128.272732	-197.677588	2.39383200610405e-12	6.25625777681653e-13	-6.25625777681653e-13
10600.589428	146.578423	-171.850197	2.46164177201113e-12	6.42015482596558e-13	-6.42015482596558e-13
10903.208614	112.241698	-156.040762	2.94578821966548e-12	7.63676166599288e-13	-7.63676166599288e-13
11195.225046	218.877986	-179.774734	2.35463727232568e-12	5.64575566409287e-13	-5.64575566409287e-13
15360.874652	305.789020	-316.024080	1.29642240187769e-12	3.41487719684568e-13	-3.41487719684568e-13
15909.464213	316.329379	-242.800541	1.45851946355595e-12	3.81135446896229e-13	-3.81135446896229e-13
16680.288821	693.843450	-454.495230	1.01809270269465e-12	2.25688675319116e-13	-2.25688675319116e-13
21259.277883	296.247869	-318.043551	1.49485792615887e-12	3.89807680531711e-13	-3.89807680531711e-13
22427.258084	915.969648	-871.732332	6.25246114960309e-13	1.50894852317735e-13	-1.50894852317735e-13
104971.229728	85564.169624	-36323.705756	6.67855694300431e-14	1.72754579884071e-14	-1.72754579884071e-14
