READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
155.808765	16.938507	-20.671141	2.40952541966641e-10	5.27498138059791e-11	-5.27498138059791e-11
235.432827	62.679964	-62.685556	2.8325752879689e-11	6.4468631744815e-12	-6.4468631744815e-12
363.798470	102.304182	-65.685678	2.04336074218211e-11	4.66723147205708e-12	-4.66723147205708e-12
647.100872	245.154592	-180.998220	1.42147218194678e-11	2.62417543023102e-12	-2.62417543023102e-12
4517.171089	410.964822	-267.180018	6.40814388620377e-12	1.67856697891105e-12	-1.67856697891105e-12
5305.130147	315.023545	-376.994235	4.26283685755867e-12	1.11859100965784e-12	-1.11859100965784e-12
5879.341028	292.421584	-259.187336	5.30310880182008e-12	1.39923578653196e-12	-1.39923578653196e-12
6483.922725	215.995898	-312.160113	8.05448194465826e-12	1.77135595779941e-12	-1.77135595779941e-12
10662.927097	316.955555	-502.935565	2.80486590078097e-12	7.41786062059086e-13	-7.41786062059086e-13
11424.364586	408.004625	-444.481935	2.72614845546242e-12	7.16986533114904e-13	-7.16986533114904e-13
12161.993369	320.126134	-329.624158	3.83862733032237e-12	1.02467792340106e-12	-1.02467792340106e-12
17096.695766	1171.192497	-846.704475	2.6086031936155e-12	5.19658623456793e-13	-5.19658623456793e-13
23006.579966	1038.865486	-794.587674	2.12659794409466e-12	5.23905721536128e-13	-5.23905721536128e-13
32480.361282	3125.714881	-4202.369170	2.28174844505666e-12	5.32801545061742e-13	-5.32801545061742e-13
47601.795996	10196.258495	-8779.869193	1.11904006769194e-12	1.98635577047664e-13	-1.98635577047664e-13
125045.033792	37657.251211	-32798.462440	1.84424817544584e-13	5.16794818394164e-14	-5.16794818394164e-14
193732.450025	43679.365267	-26924.220373	1.44542267163311e-13	4.13694259877647e-14	-4.13694259877647e-14
332719.586380	66871.869452	-90791.887768	4.30290838321711e-14	1.43780109390425e-14	-1.43780109390425e-14
