READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
87.241028	0.247411	-0.332586	1.54117624807372e-08	1.86895071076181e-09	-1.86895071076181e-09
87.754457	0.253504	-0.266018	1.7793065722441e-08	2.06840185668677e-09	-2.06840185668677e-09
88.281469	0.247777	-0.273508	1.66016153214521e-08	1.96372195244983e-09	-1.96372195244983e-09
88.775427	0.319584	-0.246181	1.38158770428229e-08	1.72376906221607e-09	-1.72376906221607e-09
89.339029	0.298618	-0.244017	1.51910888266754e-08	1.8596492580134e-09	-1.8596492580134e-09
89.944161	0.335754	-0.306514	1.32922602432483e-08	1.61192332012308e-09	-1.61192332012308e-09
90.551157	0.235810	-0.271243	1.65327542615759e-08	2.01268166317417e-09	-2.01268166317417e-09
91.041368	0.279339	-0.254401	1.5082701759841e-08	1.82904623241963e-09	-1.82904623241963e-09
91.571085	0.274467	-0.250377	1.44976290092127e-08	1.80882937856556e-09	-1.80882937856556e-09
92.155167	0.334416	-0.309616	1.13871114127429e-08	1.42073863779236e-09	-1.42073863779236e-09
92.795330	0.222655	-0.305747	1.46743849632096e-08	1.75733189283164e-09	-1.75733189283164e-09
93.286538	0.281199	-0.268553	1.36853462033579e-08	1.69128245641914e-09	-1.69128245641914e-09
93.885148	0.287495	-0.317410	1.28503618711728e-08	1.57310421007205e-09	-1.57310421007205e-09
94.430197	0.245941	-0.257554	1.59632757139564e-08	1.93969985907008e-09	-1.93969985907008e-09
94.975155	0.314787	-0.299017	1.31358063156193e-08	1.60804747691178e-09	-1.60804747691178e-09
95.604346	0.318955	-0.314404	1.27340296498207e-08	1.54422794048465e-09	-1.54422794048465e-09
96.202698	0.259655	-0.279397	1.45448727882293e-08	1.76382491429997e-09	-1.76382491429997e-09
96.700518	0.274224	-0.238166	1.49398624374691e-08	1.82889481331123e-09	-1.82889481331123e-09
97.292021	0.346338	-0.317279	1.13819114912869e-08	1.43376683580207e-09	-1.43376683580207e-09
97.956208	0.288836	-0.317848	1.27775752638056e-08	1.57909700414827e-09	-1.57909700414827e-09
98.704356	0.323507	-0.459312	9.77704374347956e-09	1.19687747365976e-09	-1.19687747365976e-09
99.421371	0.378636	-0.393508	9.66883911860887e-09	1.17251898678245e-09	-1.17251898678245e-09
100.137617	0.327786	-0.337610	1.07836090959442e-08	1.32009829862421e-09	-1.32009829862421e-09
100.833970	0.335962	-0.368568	1.02556691086822e-08	1.24368257154385e-09	-1.24368257154385e-09
101.500114	0.296045	-0.330182	1.1370663433612e-08	1.40522594703289e-09	-1.40522594703289e-09
102.155099	0.349155	-0.358940	1.02150692877595e-08	1.23875912528378e-09	-1.23875912528378e-09
102.837802	0.404793	-0.333548	9.85113350812487e-09	1.20594733193042e-09	-1.20594733193042e-09
103.705207	0.439408	-0.462612	8.21248298355814e-09	1.00534846589598e-09	-1.00534846589598e-09
104.602620	0.328372	-0.458005	9.6138807181831e-09	1.16585429385909e-09	-1.16585429385909e-09
105.320634	0.419864	-0.389641	9.21041116053753e-09	1.12751192558171e-09	-1.12751192558171e-09
106.214296	0.574097	-0.473798	7.06010548616146e-09	8.64277742920477e-10	-8.64277742920477e-10
107.302315	0.457473	-0.513923	7.56157776030707e-09	9.25666521460931e-10	-9.25666521460931e-10
108.337059	0.534678	-0.577271	6.56962457262436e-09	8.04234468786387e-10	-8.04234468786387e-10
109.270990	0.388904	-0.399252	9.29223513553943e-09	1.12684903836429e-09	-1.12684903836429e-09
110.008446	0.279482	-0.348553	6.87428337687325e-09	8.41529916283186e-10	-8.41529916283186e-10
110.597451	0.270474	-0.309523	4.97682195678237e-09	6.15870626217717e-10	-6.15870626217717e-10
