READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
96.862880	2.574436	-2.341268	4.47637271304994e-10	8.64831416346963e-11	-8.64831416346963e-11
100.918023	2.207382	-1.480706	5.82267916437132e-10	1.09335834239475e-10	-1.09335834239475e-10
105.698972	1.826191	-2.573567	4.74160041365553e-10	8.65693903000836e-11	-8.65693903000836e-11
109.904393	2.767747	-2.379229	3.65593802617637e-10	7.27017152733069e-11	-7.27017152733069e-11
114.391280	1.536672	-1.719140	6.23327170799323e-10	1.17045780466919e-10	-1.17045780466919e-10
118.263252	2.639104	-2.335300	4.09818046988497e-10	7.91765294653852e-11	-7.91765294653852e-11
123.142743	2.362186	-2.240387	4.58110729021608e-10	8.60221572043683e-11	-8.60221572043683e-11
128.066137	2.018261	-2.561208	4.70692428809019e-10	8.59363038863754e-11	-8.59363038863754e-11
133.423987	3.556276	-3.339589	2.72410053009595e-10	6.10811975367126e-11	-6.10811975367126e-11
139.852968	3.532130	-2.872705	3.40893946055613e-10	6.7789932868428e-11	-6.7789932868428e-11
146.682765	3.863285	-3.297667	3.35054870103387e-10	6.11723931277461e-11	-6.11723931277461e-11
153.371040	2.990938	-2.824990	3.520065681669e-10	7.42586873302721e-11	-7.42586873302721e-11
158.901440	2.066673	-2.539463	4.70564370141484e-10	8.83606271186134e-11	-8.83606271186134e-11
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
177.046257	8.071454	-9.479694	2.88782843215868e-10	6.49407457908442e-11	-6.49407457908442e-11
193.456502	6.705110	-8.338790	3.17381259586121e-10	7.17795973990867e-11	-7.17795973990867e-11
211.500396	8.719696	-11.338784	2.39020514160312e-10	5.34466016042788e-11	-5.34466016042788e-11
234.731041	23.098711	-14.510949	1.28870271565123e-10	2.91455587222809e-11	-2.91455587222809e-11
271.273189	11.629663	-13.443438	2.07684280975405e-10	4.55656447971407e-11	-4.55656447971407e-11
302.845666	17.666866	-19.942814	1.36021674975265e-10	2.98429827218087e-11	-2.98429827218087e-11
336.053500	19.561352	-15.540968	1.40761676305663e-10	3.13919127632654e-11	-3.13919127632654e-11
375.460635	17.763876	-19.845784	1.32805201094247e-10	2.91372798143442e-11	-2.91372798143442e-11
417.634613	25.736179	-24.410101	9.63344783766352e-11	2.15410222666554e-11	-2.15410222666554e-11
463.239130	20.248622	-19.868338	1.27165900461769e-10	2.79000194857601e-11	-2.79000194857601e-11
510.453650	38.224262	-26.965898	7.54580512456941e-11	1.69688167944779e-11	-1.69688167944779e-11
572.788627	21.020865	-24.110715	1.17118890142264e-10	2.55574069775681e-11	-2.55574069775681e-11
609.148918	14.748354	-15.339426	1.68082808752779e-10	3.75844753928986e-11	-3.75844753928986e-11
658.529945	25.542847	-34.632673	8.18519066773411e-11	1.83026292312766e-11	-1.83026292312766e-11
709.804907	19.399505	-25.732115	1.16098924432928e-10	2.50092327021923e-11	-2.50092327021923e-11
755.900075	33.479837	-26.695663	7.73225613609767e-11	1.77919334325479e-11	-1.77919334325479e-11
826.149508	48.479123	-36.769597	5.7712039621027e-11	1.29048181023536e-11	-1.29048181023536e-11
928.360167	36.531785	-53.731535	5.46943583263784e-11	1.26585955847587e-11	-1.26585955847587e-11
1015.368931	39.786320	-50.476980	5.61407028040684e-11	1.2624778958931e-11	-1.2624778958931e-11
1090.286323	40.088389	-35.131071	6.72438023125779e-11	1.51216220189804e-11	-1.51216220189804e-11
1198.296309	54.936842	-67.921598	4.3783085278268e-11	9.68223270572595e-12	-9.68223270572595e-12
