READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wtslew mode data
150.546960729543	0.414885281244551	-0.53876373677241	4.24642281689046e-09	1.05924395334558e-09	-1.05924395334558e-09
151.519408104226	0.563240905105431	-0.557562093437582	2.72532889660937e-09	6.7981646649246e-10	-6.7981646649246e-10
152.628142968392	0.521986009010163	-0.545493959060821	2.82685591128492e-09	7.05141753453655e-10	-7.05141753453655e-10
153.584554542021	0.448023466256586	-0.434425564619431	3.39006459581062e-09	8.45630682437039e-10	-8.45630682437039e-10
154.649603362643	0.441544613382376	-0.617025354364614	2.79926396058479e-09	6.98259111710145e-10	-6.98259111710145e-10
155.513063673335	0.423160327221581	-0.421915697310425	3.4757867926949e-09	8.67013555182545e-10	-8.67013555182545e-10
156.497727327277	0.488165700607766	-0.561503326720242	2.79006712514786e-09	6.95965017893643e-10	-6.95965017893643e-10
157.644935918683	0.626514064437231	-0.659042890797764	2.79736993721072e-09	6.74751016839855e-10	-6.74751016839855e-10
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
166.075902	0.627039	-0.461790	2.7769860754304e-09	4.20340599117741e-10	-4.20340599117741e-10
167.342869	0.802941	-0.639928	2.10301791787846e-09	3.18324914608543e-10	-3.18324914608543e-10
168.748707	0.649600	-0.602897	2.4307532720891e-09	3.62355291945906e-10	-3.62355291945906e-10
169.972775	0.460988	-0.574468	2.90454877331208e-09	4.32984593526132e-10	-4.32984593526132e-10
170.943280	0.556189	-0.509517	2.76138303638514e-09	4.17978865839049e-10	-4.17978865839049e-10
172.331981	0.628115	-0.832512	2.01457322248709e-09	3.00314853986165e-10	-3.00314853986165e-10
173.528145	0.526110	-0.568050	2.68805747201271e-09	4.00711923827885e-10	-4.00711923827885e-10
174.674194	0.664595	-0.619939	2.28983404653401e-09	3.41348280012471e-10	-3.41348280012471e-10
176.048624	0.590705	-0.709835	2.235107925412e-09	3.38318802007943e-10	-3.38318802007943e-10
177.265924	0.631239	-0.626595	2.37468800644803e-09	3.53997586996696e-10	-3.53997586996696e-10
178.647217	0.703502	-0.750054	2.06273183480803e-09	3.12226965973038e-10	-3.12226965973038e-10
180.291387	0.909594	-0.940669	1.65197258620119e-09	2.50052072220952e-10	-2.50052072220952e-10
182.064484	0.810654	-0.863503	1.87563677810162e-09	2.79603395959855e-10	-2.79603395959855e-10
183.619952	0.726518	-0.744814	2.10830078817079e-09	3.19124570931788e-10	-3.19124570931788e-10
185.121289	0.691179	-0.774819	2.11645923660499e-09	3.20359480306157e-10	-3.20359480306157e-10
186.742986	0.699158	-0.930519	1.85697652916251e-09	2.89913456855464e-10	-2.89913456855464e-10
188.218316	0.728967	-0.776172	2.06383714539813e-09	3.12394256392597e-10	-3.12394256392597e-10
189.623815	0.720061	-0.676532	2.25665415190262e-09	3.36402128621795e-10	-3.36402128621795e-10
191.432432	1.025036	-1.088555	1.49638940640072e-09	2.23068585471342e-10	-2.23068585471342e-10
193.104102	0.789108	-0.646635	2.20916763397888e-09	3.29323261943212e-10	-3.29323261943212e-10
194.828671	0.745820	-0.935460	1.89675141669888e-09	2.82751000555583e-10	-2.82751000555583e-10
196.531038	0.936431	-0.956548	1.71151684395409e-09	2.55137850742907e-10	-2.55137850742907e-10
198.183603	0.888638	-0.716134	2.0508312434567e-09	3.05719869993284e-10	-3.05719869993284e-10
199.944294	0.617048	-0.872053	2.24600342920363e-09	3.34814398800604e-10	-3.34814398800604e-10
201.546036	0.940318	-0.984693	1.7633081690775e-09	2.62858481146586e-10	-2.62858481146586e-10
203.419028	1.131102	-0.932674	1.6402002337967e-09	2.48270178785711e-10	-2.48270178785711e-10
205.753426	0.885396	-1.203296	1.53042995081508e-09	2.38932600524217e-10	-2.38932600524217e-10
207.661884	0.933980	-1.023062	1.65073040534215e-09	2.46076391597998e-10	-2.46076391597998e-10
209.563092	0.979108	-0.967229	1.61684063772912e-09	2.41024368379291e-10	-2.41024368379291e-10
211.541733	1.128291	-0.999533	1.44007534917869e-09	2.14673779235965e-10	-2.14673779235965e-10
213.526598	0.926117	-0.856574	1.69765102047794e-09	2.56966254047894e-10	-2.56966254047894e-10
215.292487	0.973145	-0.839772	1.70067336522724e-09	2.5352139903162e-10	-2.5352139903162e-10
217.763717	1.085177	-1.498085	1.20419838754503e-09	1.79511318001878e-10	-1.79511318001878e-10
220.190055	1.284820	-1.341160	1.19634738231316e-09	1.78340950360857e-10	-1.78340950360857e-10
222.197188	0.875348	-0.722313	1.98296862497119e-09	2.95603528649857e-10	-2.95603528649857e-10
224.368412	1.620104	-1.295876	1.08246910943266e-09	1.63848793305754e-10	-1.63848793305754e-10
227.146289	1.051878	-1.157773	1.46237973926867e-09	2.17998724809317e-10	-2.17998724809317e-10
229.296200	1.010232	-1.098033	1.54571204335791e-09	2.30421144968396e-10	-2.30421144968396e-10
