READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
131.232999	3.798838	-3.641473	2.07920191078314e-09	3.38470761626022e-10	-3.38470761626022e-10
138.287001	3.658523	-3.255164	1.60824001974041e-09	3.20449516949186e-10	-3.20449516949186e-10
145.900961	5.313821	-3.955437	1.03511964116817e-09	2.43257855163388e-10	-2.43257855163388e-10
154.937137	3.780227	-3.722356	1.47443250627244e-09	2.87316552242036e-10	-2.87316552242036e-10
161.612158	3.552610	-2.894794	1.97048049045626e-09	3.5103492812716e-10	-3.5103492812716e-10
168.759622	3.747590	-3.594853	1.48063703712199e-09	2.88525537219422e-10	-2.88525537219422e-10
177.165787	3.619691	-4.658575	1.34680683173167e-09	2.51224123784386e-10	-2.51224123784386e-10
185.311294	3.957052	-4.525815	1.27997849018906e-09	2.43999619594833e-10	-2.43999619594833e-10
193.966114	4.774279	-4.697767	1.16189377051246e-09	2.16731823967471e-10	-2.16731823967471e-10
203.126164	4.132679	-4.385771	1.23202232975268e-09	2.4548640780785e-10	-2.4548640780785e-10
212.926950	3.971332	-5.668107	1.11511132551903e-09	2.17297160118283e-10	-2.17297160118283e-10
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
241.805976	16.357536	-18.744893	8.72393193832996e-10	1.88751374374013e-10	-1.88751374374013e-10
283.140789	22.661783	-24.977277	5.97027241939037e-10	1.35237426261525e-10	-1.35237426261525e-10
335.690305	20.258626	-29.887734	5.77443121251374e-10	1.3122819783468e-10	-1.3122819783468e-10
373.953711	14.590361	-18.004779	1.00286067678634e-09	2.14437200991714e-10	-2.14437200991714e-10
421.885546	24.326825	-33.341475	5.33873270796111e-10	1.17944276562973e-10	-1.17944276562973e-10
471.482124	22.369288	-25.269752	6.16623101474659e-10	1.38773028354258e-10	-1.38773028354258e-10
534.941315	49.173576	-41.089904	3.40323784622037e-10	7.47222301725315e-11	-7.47222301725315e-11
634.527452	52.387519	-50.412561	2.73916217296607e-10	6.37037277429054e-11	-6.37037277429054e-11
740.535501	46.672291	-53.620529	2.97383252792901e-10	6.65222209390294e-11	-6.65222209390294e-11
847.956236	77.154156	-60.748444	2.08029401008182e-10	4.69695596009513e-11	-4.69695596009513e-11
978.519553	46.883719	-53.409161	2.84608676372439e-10	6.42599331591008e-11	-6.42599331591008e-11
1146.934624	94.098308	-121.531352	1.29921171633466e-10	2.97194909192416e-11	-2.97194909192416e-11
1341.704855	84.869957	-100.671923	1.51437954758644e-10	3.43034250456071e-11	-3.43034250456071e-11
1537.281699	117.459433	-110.706887	1.22051575100178e-10	2.77371136085606e-11	-2.77371136085606e-11
1782.843161	165.254631	-128.101889	5.23506117447763e-11	1.14710140932439e-11	-1.14710140932439e-11
5261.420456	79.529976	-95.982044	1.74912528940373e-11	4.618937440798e-12	-4.618937440798e-12
5445.168756	106.396416	-104.218324	1.4541117612969e-11	3.83988263999096e-12	-3.83988263999096e-12
5801.173644	161.591868	-249.608472	2.10125658632063e-11	4.81915767487572e-12	-4.81915767487572e-12
6106.555184	132.015507	-143.789673	1.10574665925626e-11	2.91983792838391e-12	-2.91983792838391e-12
6371.565942	72.605110	-132.995250	1.48457562518567e-11	3.90752746278202e-12	-3.90752746278202e-12
6576.376269	143.600202	-132.205218	1.09448269351501e-11	2.90906460246957e-12	-2.90906460246957e-12
6914.656213	203.984798	-194.679742	1.96897532743748e-11	5.00086569592419e-12	-5.00086569592419e-12
7330.983988	274.072083	-212.342977	6.92880378520069e-12	1.75040915045651e-12	-1.75040915045651e-12
44445.115856	15109.959096	-13988.602544	7.05389398220985e-13	3.01854133440842e-13	-3.01854133440842e-13
