READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
118.498415	32.163996	-30.518952	1.34714918989821e-10	3.04615078735998e-11	-3.04615078735998e-11
188.342285	35.032327	-37.679873	1.16309657026175e-10	2.61043389157321e-11	-2.61043389157321e-11
261.013732	42.595020	-37.639120	1.02711036371695e-10	2.3577607466996e-11	-2.3577607466996e-11
373.528112	90.549000	-69.919360	4.65519050223633e-11	1.02306061694598e-11	-1.02306061694598e-11
574.543827	135.250505	-110.466715	9.40297567968562e-12	2.47872042974383e-12	-2.47872042974383e-12
892.670273	203.251339	-182.875941	5.88456113081528e-12	1.5675994619744e-12	-1.5675994619744e-12
1378.671933	589.784999	-282.750321	2.47160462388499e-12	6.91277432178275e-13	-6.91277432178275e-13
7803.328245	5716.656067	-2444.370253	9.00007446127544e-13	1.80445115816329e-13	-1.80445115816329e-13
