READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
155.559508	10.207104	-27.402545	1.14818628554205e-10	2.53111162758099e-11	-2.53111162758099e-11
173.196535	5.106636	-7.429924	3.25048032753883e-10	7.14121806803551e-11	-7.14121806803551e-11
182.281221	3.543890	-3.978050	5.5303222163088e-10	1.18287066416771e-10	-1.18287066416771e-10
191.841303	6.520349	-6.016191	3.35986373886696e-10	7.04914246292309e-11	-7.04914246292309e-11
206.750651	9.162161	-8.388999	2.31089313059769e-10	4.8334078566142e-11	-4.8334078566142e-11
223.253810	7.702862	-7.340998	2.36237623154254e-10	5.30117464484065e-11	-5.30117464484065e-11
246.168926	12.368145	-15.212255	1.30595666456646e-10	2.92020531479916e-11	-2.92020531479916e-11
296.961002	36.795390	-38.423930	4.76648996926197e-11	1.08498996658156e-11	-1.08498996658156e-11
371.250843	40.232149	-37.494451	4.52037412212304e-11	1.03267957371402e-11	-1.03267957371402e-11
431.799993	19.799999	-20.317001	9.14870681876246e-11	2.0236604541302e-11	-2.0236604541302e-11
482.360238	26.907873	-30.760247	6.18279661413815e-11	1.38251728290685e-11	-1.38251728290685e-11
543.006616	31.451616	-33.738504	4.36120019421529e-11	9.85732597403967e-12	-9.85732597403967e-12
617.496666	42.210146	-43.038434	2.14122755768108e-11	4.70502122852433e-12	-4.70502122852433e-12
721.196805	68.890187	-61.489993	1.31146243429483e-11	2.94316952627755e-12	-2.94316952627755e-12
847.014227	63.423724	-56.927236	1.46781850732482e-11	3.20306499135134e-12	-3.20306499135134e-12
1075.990496	125.292635	-165.552545	7.75979567294367e-12	1.51915267571333e-12	-1.51915267571333e-12
4930.484644	485.215828	-482.604972	1.7880875417518e-12	4.66758026527376e-13	-4.66758026527376e-13
6126.491899	861.290992	-710.791428	1.39835897527912e-12	3.2622670830869e-13	-3.2622670830869e-13
10802.668655	489.013996	-576.591544	1.11203662142186e-12	2.9631498896964e-13	-2.9631498896964e-13
11962.892332	808.315272	-671.209680	1.24521677185829e-12	2.74708336397654e-13	-2.74708336397654e-13
17340.002685	1200.769719	-1206.009753	6.8432636882785e-13	1.80369854298837e-13	-1.80369854298837e-13
25056.763803	5049.499980	-3265.250891	4.45222245887655e-13	1.13318135215966e-13	-1.13318135215966e-13
39982.670784	7500.141379	-6216.278792	2.68090679675334e-13	6.53095187315498e-14	-6.53095187315498e-14
58583.506028	6240.482704	-7861.266976	2.45434078759727e-13	5.76484696621685e-14	-5.76484696621685e-14
75886.035364	12078.480268	-7714.759052	2.20670309135346e-13	4.81699199882466e-14	-4.81699199882466e-14
129434.197878	15492.105734	-14711.224646	1.64135911249733e-13	4.52343062499265e-14	-4.52343062499265e-14
