READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
101.130872	9.777879	-17.802669	6.06276887902803e-10	1.34317938740555e-10	-1.34317938740555e-10
115.466986	5.471046	-4.558234	2.33276577329481e-09	4.2815439299683e-10	-4.2815439299683e-10
125.174031	5.793280	-4.236000	1.51699560040539e-09	3.41907248988984e-10	-3.41907248988984e-10
138.925683	7.085569	-7.958371	1.14056266550956e-09	2.38642188252167e-10	-2.38642188252167e-10
155.560632	10.509200	-9.549380	7.98115056331098e-10	1.70158655623355e-10	-1.70158655623355e-10
221.145800	72.797492	-55.075968	1.06223861954911e-10	2.40366834017235e-11	-2.40366834017235e-11
375.420938	48.903174	-81.477646	3.53480211225295e-11	8.00100625961819e-12	-8.00100625961819e-12
460.582543	31.439289	-36.258431	4.55900935917798e-11	1.02377029912285e-11	-1.02377029912285e-11
532.604629	52.188182	-40.582798	3.23009491595219e-11	7.31578766247845e-12	-7.31578766247845e-12
642.664567	42.421205	-57.871755	2.84591723286886e-11	6.44556918281821e-12	-6.44556918281821e-12
755.634416	54.817555	-70.548645	2.3223661220543e-11	5.0677692722745e-12	-5.0677692722745e-12
884.728824	78.669948	-74.276852	1.73840196793354e-11	3.90377125281315e-12	-3.90377125281315e-12
1010.327657	53.364155	-46.928885	2.5190892435064e-11	5.75479396199689e-12	-5.75479396199689e-12
1131.254506	67.832886	-67.562694	1.83685616758439e-11	4.14245160635201e-12	-4.14245160635201e-12
1268.315087	76.197204	-69.227696	1.66400646741963e-11	3.75265686444318e-12	-3.75265686444318e-12
1399.825102	105.156130	-55.312810	1.09767421296351e-11	2.86660526988948e-12	-2.86660526988948e-12
1576.001269	94.463522	-71.020038	1.38888533750719e-11	3.11890598989757e-12	-3.11890598989757e-12
1802.743600	143.510832	-132.278808	1.24271162913945e-11	2.25762971247408e-12	-2.25762971247408e-12
136849.554335	60843.947377	-61966.619243	1.11414690667206e-13	6.68937850120965e-14	-6.68937850120965e-14
