READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
119.801123	5.748026	-5.392801	1.57782056940144e-10	3.00949727179291e-11	-3.00949727179291e-11
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
153.964541	18.444891	-19.164758	1.52462253894871e-10	3.42704159024281e-11	-3.42704159024281e-11
196.998889	35.585962	-24.589458	9.61070667741717e-11	2.16407518138069e-11	-2.16407518138069e-11
261.557854	31.202418	-28.973002	9.21138638659348e-11	2.02012872241747e-11	-2.02012872241747e-11
343.514925	37.001146	-50.754654	5.78272395742836e-11	1.26819548920967e-11	-1.26819548920967e-11
431.847230	36.424622	-51.331158	5.51851730741928e-11	1.23828391106163e-11	-1.23828391106163e-11
520.380045	50.691427	-52.108193	4.68148418285058e-11	1.05414491135584e-11	-1.05414491135584e-11
640.037029	56.399782	-68.965558	3.79398049523162e-11	8.4984121606424e-12	-8.4984121606424e-12
754.399445	59.880747	-57.962633	3.93143009218251e-11	8.86808556779633e-12	-8.86808556779633e-12
881.728678	40.365654	-67.448486	3.14070631299754e-11	7.07345709711684e-12	-7.07345709711684e-12
960.796242	41.531810	-38.701910	1.76593969249035e-11	3.95643484864222e-12	-3.95643484864222e-12
1023.284263	29.189849	-20.956211	3.21092938876754e-11	7.22185466188621e-12	-7.22185466188621e-12
1082.119211	38.052121	-29.645099	2.69082280668129e-11	6.01684549452081e-12	-6.01684549452081e-12
1146.880651	30.958621	-26.709319	2.70992622272617e-11	6.05959296961374e-12	-6.05959296961374e-12
1204.832608	28.167344	-26.993336	2.45294716967828e-11	5.49564582034345e-12	-5.49564582034345e-12
1265.172904	28.002308	-32.172952	2.12784609554356e-11	4.65192841712121e-12	-4.65192841712121e-12
1352.972730	63.060222	-59.797518	1.01756357457442e-11	2.27975073368913e-12	-2.27975073368913e-12
1454.546539	29.183533	-38.513587	1.89742988790446e-11	4.25101061052047e-12	-4.25101061052047e-12
1533.634088	42.866104	-49.904016	1.42110088988119e-11	3.1900426175862e-12	-3.1900426175862e-12
1618.144280	26.052991	-41.644088	2.00540558243727e-11	4.49291992189752e-12	-4.49291992189752e-12
1683.891600	30.510092	-39.694328	2.07509082098518e-11	4.528201310164e-12	-4.528201310164e-12
1791.600106	88.283306	-77.198414	1.26519215037075e-11	2.33138106694702e-12	-2.33138106694702e-12
5278.167253	133.022219	-162.840161	3.91262630811695e-12	1.01482809368909e-12	-1.01482809368909e-12
5510.684358	116.133654	-99.494886	5.40215106761421e-12	1.39797958573032e-12	-1.39797958573032e-12
5803.946018	151.329293	-177.128007	3.72518570549574e-12	9.70671213106864e-13	-9.70671213106864e-13
6082.985422	158.122730	-127.710110	3.80433612871315e-12	9.91260282031329e-13	-9.91260282031329e-13
6448.964059	148.181153	-207.855907	2.94211215796997e-12	7.66574459725002e-13	-7.66574459725002e-13
6792.307179	128.279833	-195.161967	3.16764966352606e-12	8.19762592653099e-13	-8.19762592653099e-13
7054.447968	126.898143	-133.860957	3.82141080844024e-12	9.95713088465984e-13	-9.95713088465984e-13
7438.008291	224.738761	-256.662179	3.42829255758572e-12	6.92373428266744e-13	-6.92373428266744e-13
11239.696509	266.268703	-350.528717	1.6223791962258e-12	4.3057383187384e-13	-4.3057383187384e-13
11902.740699	485.795413	-396.775487	1.12441697098256e-12	3.00341089530039e-13	-3.00341089530039e-13
14749.259386	8097.372805	-2360.723275	9.65515556546096e-13	2.14279222497252e-13	-2.14279222497252e-13
63724.359590	18777.907021	-22454.058879	3.12454062812326e-13	8.45798173439694e-14	-8.45798173439694e-14
110269.465067	30314.388364	-23339.769056	1.17983258463578e-13	3.20433812302478e-14	-3.20433812302478e-14
170906.417229	27575.820183	-25413.672517	1.40763781077029e-13	3.87233417074566e-14	-3.87233417074566e-14
250550.364390	23111.989362	-47151.807278	8.24127302903733e-14	2.35887226584354e-14	-2.35887226584354e-14
440373.444313	284411.521099	-161977.872461	1.89773934169367e-14	6.5031566226263e-15	-6.5031566226263e-15
