READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
128.862528	1.711685	-2.093841	6.64888529830556e-10	1.24023803142249e-10	-1.24023803142249e-10
132.768021	2.323410	-2.193809	5.33024195049475e-10	1.06207574819702e-10	-1.06207574819702e-10
138.174019	2.196096	-3.082588	4.5025867609849e-10	9.17641278308473e-11	-9.17641278308473e-11
143.632691	2.791770	-3.262576	4.1686910100634e-10	7.94669249812306e-11	-7.94669249812306e-11
149.308216	2.163627	-2.883755	4.93936027072139e-10	9.62512999380032e-11	-9.62512999380032e-11
153.646378	2.289284	-2.174535	5.28895970352519e-10	1.10285402558266e-10	-1.10285402558266e-10
157.997131	2.251137	-2.061469	5.67690761538149e-10	1.13115127908874e-10	-1.13115127908874e-10
163.070600	2.532838	-2.822333	4.40824734659481e-10	9.19207857509595e-11	-9.19207857509595e-11
167.552202	1.959953	-1.948763	5.51523193514958e-10	1.20507555396868e-10	-1.20507555396868e-10
171.865935	2.309308	-2.353780	5.00312676643125e-10	9.1344138738111e-11	-9.1344138738111e-11
176.297226	1.400701	-2.121982	5.88973525111859e-10	1.14770809352531e-10	-1.14770809352531e-10
179.222953	1.739644	-1.525026	5.94700080609951e-10	1.16233471789019e-10	-1.16233471789019e-10
182.863752	1.468525	-1.901156	5.0245392163766e-10	1.00116324576418e-10	-1.00116324576418e-10
185.937697	2.084466	-1.605420	5.74592330962707e-10	1.05837160208639e-10	-1.05837160208639e-10
190.071286	1.989485	-2.049123	5.98849961981015e-10	9.74274176637946e-11	-9.74274176637946e-11
193.699010	1.628234	-1.638239	5.33862867676712e-10	9.99733539686338e-11	-9.99733539686338e-11
197.405450	1.823414	-2.078206	3.82929051999873e-10	7.98483601892595e-11	-7.98483601892595e-11
201.197186	1.735814	-1.968321	3.84345646827282e-10	8.4036844121815e-11	-8.4036844121815e-11
204.785404	1.360690	-1.852405	3.90607083001048e-10	9.65536494744202e-11	-9.65536494744202e-11
208.227547	2.590531	-2.081452	4.70577999630714e-10	8.01186970232304e-11	-8.01186970232304e-11
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
1268.704496	113.234756	-77.321693	5.80064085154542e-12	1.30843538463213e-12	-1.30843538463213e-12
1524.480255	105.683917	-142.541003	3.28236373488877e-12	8.65040998749301e-13	-8.65040998749301e-13
1856.789418	204.626485	-226.625247	2.40900282393216e-12	5.61047500819419e-13	-5.61047500819419e-13
5853.074780	755.682912	-545.615968	5.59919948031905e-13	1.53271855210514e-13	-1.53271855210514e-13
7154.485080	680.332132	-545.727388	6.35430753135483e-13	1.63724912187593e-13	-1.63724912187593e-13
12256.625494	1343.256118	-1241.770182	4.37212621811467e-13	8.80618270914096e-14	-8.80618270914096e-14
101811.033637	2868.614215	-4067.499465	2.98367664635598e-13	8.03930741155558e-14	-8.03930741155558e-14
110890.194875	5168.156697	-1638.782503	2.1483882946239e-13	1.04028873087609e-13	-1.04028873087609e-13
