READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
12532.759233	69.254175	-58.618685	1.13352418193577e-10	2.5742149546109e-11	-2.5742149546109e-11
12647.005543	25.212564	-44.992136	1.91318108009777e-10	4.2945176025863e-11	-4.2945176025863e-11
12711.935891	35.501536	-39.717784	1.70789641068703e-10	3.8189709916264e-11	-3.8189709916264e-11
12795.294307	39.899061	-47.856879	1.36895870263496e-10	3.07289709386259e-11	-3.07289709386259e-11
12887.323576	40.640311	-52.130209	1.19838501893432e-10	2.71621033302729e-11	-2.71621033302729e-11
12967.811542	35.371665	-39.847655	1.40590842191491e-10	3.15583522687933e-11	-3.15583522687933e-11
13048.792967	37.131481	-45.609759	1.24007474481544e-10	2.78358781967903e-11	-2.78358781967903e-11
13125.485019	33.151429	-39.560571	1.48165015659087e-10	3.24510901311194e-11	-3.24510901311194e-11
13199.530710	31.817697	-40.894263	1.55190932680858e-10	3.32028499559026e-11	-3.32028499559026e-11
13301.902436	67.348012	-70.554028	7.77705793266021e-11	1.7096128439378e-11	-1.7096128439378e-11
13416.722088	55.327979	-47.471641	9.91806857618009e-11	2.23493336376764e-11	-2.23493336376764e-11
13522.674380	42.146087	-50.624313	1.10031182727344e-10	2.47464380696931e-11	-2.47464380696931e-11
13629.320494	83.431054	-64.500026	6.91281205629499e-11	1.55171858505523e-11	-1.55171858505523e-11
13753.472239	42.020408	-40.720692	1.23673573768409e-10	2.77075490615365e-11	-2.77075490615365e-11
13839.967677	45.787971	-44.475029	1.1314307633751e-10	2.53972318744702e-11	-2.53972318744702e-11
13934.632787	31.356600	-48.877140	1.27281240225917e-10	2.85707985187451e-11	-2.85707985187451e-11
14029.875134	58.972153	-63.885747	8.25392070640396e-11	1.86716487251543e-11	-1.86716487251543e-11
14150.110613	69.116455	-61.263325	8.18811285979568e-11	1.80329492479703e-11	-1.80329492479703e-11
14266.841501	40.141147	-47.614433	1.16057374437387e-10	2.61522606540429e-11	-2.61522606540429e-11
14400.197431	109.870717	-93.214783	7.52492589397368e-11	1.38468817077885e-11	-1.38468817077885e-11
18475.600723	33.116644	-57.146536	6.48249367438448e-11	1.45930520877004e-11	-1.45930520877004e-11
18541.304784	30.095364	-32.587416	9.39815411691792e-11	2.10148696208851e-11	-2.10148696208851e-11
18636.570993	50.165455	-65.170845	5.05291226866814e-11	1.14262770756418e-11	-1.14262770756418e-11
18733.478052	46.028895	-46.741605	6.54732964324464e-11	1.47390579488142e-11	-1.47390579488142e-11
18830.290252	34.465216	-50.783304	7.36911848812322e-11	1.61149574533424e-11	-1.61149574533424e-11
18895.211136	32.227052	-30.455668	4.17585396099079e-11	9.40279890829661e-12	-9.40279890829661e-12
18956.263153	36.365135	-28.824966	5.94919296707111e-11	1.33947553745379e-11	-1.33947553745379e-11
19035.990055	51.915993	-43.361767	7.28597284001932e-11	1.64759036638746e-11	-1.64759036638746e-11
19144.417902	58.824326	-56.511854	6.5119209594524e-11	1.45936753089886e-11	-1.45936753089886e-11
19242.337372	26.094856	-39.095144	9.13715898532947e-11	2.01562805683339e-11	-2.01562805683339e-11
19308.789113	32.355015	-40.356885	4.41928984316056e-11	9.95093945982978e-12	-9.95093945982978e-12
19368.215171	28.089696	-27.071044	5.66678319465227e-11	1.2730181144369e-11	-1.2730181144369e-11
19456.986762	47.132345	-60.681895	6.76845242517993e-11	1.48990615119876e-11	-1.48990615119876e-11
19533.423722	25.856066	-29.304614	5.49177845265463e-11	1.20105254801507e-11	-1.20105254801507e-11
19589.735506	29.719642	-30.455718	4.746319046884e-11	1.06376944818e-11	-1.06376944818e-11
19650.535341	34.109747	-31.080193	7.83022453070964e-11	1.76283878981501e-11	-1.76283878981501e-11
19735.026554	42.388774	-50.381466	7.46701340332626e-11	1.67341075620512e-11	-1.67341075620512e-11
19839.565094	40.649713	-62.149767	6.60398386664968e-11	1.49000738904984e-11	-1.49000738904984e-11
19937.108194	45.906053	-56.893387	6.53561127773351e-11	1.47125943154512e-11	-1.47125943154512e-11
20031.381601	51.924767	-48.367353	6.68325493843947e-11	1.49776022468488e-11	-1.49776022468488e-11
20117.647399	30.848829	-34.341031	1.02476154464258e-10	2.30171434760749e-11	-2.30171434760749e-11
20210.960383	62.900965	-62.464155	7.4606957684587e-11	1.4144507883959e-11	-1.4144507883959e-11
24498.883165	89.173943	-73.801326	2.38399571850922e-11	5.24986160321948e-12	-5.24986160321948e-12
24640.685985	57.692803	-52.628877	3.34692287771771e-11	7.55585310503131e-12	-7.55585310503131e-12
24756.913591	79.367277	-58.534803	2.81332859052529e-11	6.19537844825184e-12	-6.19537844825184e-12
24905.819657	70.870491	-69.538789	2.63508068855451e-11	5.94880359405223e-12	-5.94880359405223e-12
