READ TERR 1 2
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT wt mode data
80.852444	1.992135	-2.014457	2.14032866326772e-09	3.99242344592505e-10	-3.99242344592505e-10
84.754579	2.059202	-1.909999	2.15236136947517e-09	4.01486746225331e-10	-4.01486746225331e-10
88.724023	2.281376	-1.910242	3.05939018530414e-09	4.62623156267338e-10	-4.62623156267338e-10
92.854571	2.064746	-1.849172	2.34612983249782e-09	4.14741070355191e-10	-4.14741070355191e-10
96.881016	1.906104	-1.961699	2.14278166157847e-09	4.08474130408792e-10	-4.08474130408792e-10
100.764551	1.650196	-1.977432	2.35608696399163e-09	4.30160749702859e-10	-4.30160749702859e-10
104.403161	2.333061	-1.988414	2.43014499629974e-09	3.99513483181481e-10	-3.99513483181481e-10
108.900105	1.808901	-2.163883	2.06361770322397e-09	3.93383300605719e-10	-3.93383300605719e-10
112.669376	2.311292	-1.960371	2.96841243085882e-09	4.42504834972723e-10	-4.42504834972723e-10
117.035621	2.003229	-2.054952	2.07524926966011e-09	3.78886999422625e-10	-3.78886999422625e-10
122.310193	2.560590	-3.271343	1.41482239636551e-09	2.63911331230874e-10	-2.63911331230874e-10
127.186753	2.325768	-2.315970	1.76978788320323e-09	3.30124245679878e-10	-3.30124245679878e-10
131.730653	2.089110	-2.218132	1.93367511035291e-09	3.53039030522527e-10	-3.53039030522527e-10
NO	NO	NO	NO	NO	NO
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!XRT pc mode data
146.541894	5.450038	-9.593790	2.11353668885227e-09	4.16045180325611e-10	-4.16045180325611e-10
160.044130	9.498981	-8.052199	1.65927822681622e-09	3.40068362752663e-10	-3.40068362752663e-10
181.586391	10.522481	-12.043279	1.06077007956631e-09	2.38347242802277e-10	-2.38347242802277e-10
203.408302	11.266350	-11.299430	1.1453034040885e-09	2.47439305725157e-10	-2.47439305725157e-10
235.146503	24.659729	-20.471851	5.59917474129047e-10	1.22053696588045e-10	-1.22053696588045e-10
282.597807	24.847305	-22.791575	4.77404720403951e-10	1.08320640414066e-10	-1.08320640414066e-10
327.615330	19.946722	-20.170218	5.50889713160066e-10	1.26856881118488e-10	-1.26856881118488e-10
388.572817	41.730475	-41.010765	2.66726417012065e-10	6.05188015173601e-11	-6.05188015173601e-11
491.533885	41.569147	-61.230593	1.30853704835913e-10	2.88333723865525e-11	-2.88333723865525e-11
565.803451	27.475041	-32.700419	7.79321242952827e-11	1.75149420644638e-11	-1.75149420644638e-11
625.842372	35.133520	-32.563880	9.27324210645939e-11	1.79138010947486e-11	-1.79138010947486e-11
4142.398658	141.157434	-157.212946	1.01145456341733e-11	2.64261184957659e-12	-2.64261184957659e-12
4454.197238	185.397194	-170.641146	8.42865658048328e-12	2.20214768734621e-12	-2.20214768734621e-12
4816.377817	219.371554	-176.783386	7.57718021311638e-12	1.96405181941992e-12	-1.96405181941992e-12
5366.263269	160.918682	-330.513898	6.83161361229014e-12	1.66850898532596e-12	-1.66850898532596e-12
5897.964174	529.487930	-370.782222	7.41850941161483e-12	1.52176259672239e-12	-1.52176259672239e-12
10289.664830	665.121001	-613.607819	2.05710615909825e-12	5.49456608637452e-13	-5.49456608637452e-13
11453.311156	753.282187	-498.525325	2.76031469227753e-12	6.54746144724642e-13	-6.54746144724642e-13
16674.374757	1332.371326	-1219.575266	2.11504557346827e-12	4.66446710924193e-13	-4.66446710924193e-13
22269.515668	1492.567024	-1034.801576	1.5889229125825e-12	4.04132028481318e-13	-4.04132028481318e-13
28269.987560	1293.253031	-1194.389069	1.52295460055014e-12	4.05755863854422e-13	-4.05755863854422e-13
34141.240934	1196.945898	-1343.370502	1.39325075012344e-12	3.80586415571306e-13	-3.80586415571306e-13
46778.003006	5767.165746	-8197.991354	7.79035020246759e-13	1.7720103509e-13	-1.7720103509e-13
56991.517441	1443.665203	-1108.705389	1.12410003703141e-12	3.87284736485361e-13	-3.87284736485361e-13
