"Name","Disc. Date","mmax","Host Name","R.A.","Dec.","Type","Phot.","Spec.","Radio","X-ray"
"SN2013bn","2013/04/15","17.8","A114802+5434","11:48:02.03,11:48:02.02","+54:34:38.6,+54:34:38.60,+54:34:38.5","Ic BL","1","1","",""
"SN2014as","2014/04/18","16.3","NGC 5410","14:00:54.49","+40:58:59.6,+40:58:59.59","Ic BL","1","1","",""
"SN2014cp","2014/06/23","15.7","ESO 479-G1","02:25:30.46","-25:37:38.0,-25:37:37.99","Ic BL","1","10","",""
"ASASSN-18dj","2018/02/19","17.6","2MASX J06005908-1759313","06:00:58.93,06:00:58.907,06:00:58.92","-17:59:31.99,-17:59:33.03,-17:59:33","Ic BL","1","","",""
"SN2016jca","2016/12/25","19","","06:06:51.43,06:06:51.430,06:06:52.08","-26:47:29.50,-26:48:03.6","Ic BL","1","","",""
"SN2017fgk","2017/07/09","17.69","","17:47:49.19,17:47:49.190","+16:08:05.18","Ic BL","1","","",""
"SN2017htp","2017/11/01","21.8","PSOJ042619.553-102745.801","04:26:19.46,04:26:19.460","-10:27:45.90","Ic BL","1","","",""
"SN2017ixv","2017/12/17","15.3","NGC 6796","19:21:31.24,19:21:31.240","+61:08:51.76","Ic BL","1","1","",""
"SN2018gep","2018/09/09","15.6","SDSS J164348.22+410243.3","16:43:48.22,16:43:48.220","+41:02:43.37","Ic BL","1","1","",""
"SN2018giu","2018/09/15","18.73","","20:27:49.22,20:27:49.220","+09:54:51.90","Ic BL","1","1","",""
"SN2018gju","2018/09/15","19.34","","00:08:11.79,00:08:11.790","-04:17:06.81","Ic BL","1","1","",""
"PTF09sk","2009/01/01","","","13:30:51.15","+30:20:04.9","Ic BL","","","",""
"SN2010ma","2010/12/19","","A004855-3433","00:48:55.35,00:49:02.16","-34:33:59.5,-34:33:59.51,-34:33:21.6","Ic BL","","7","",""
"SN2013dx","2013/07/02","","A142914+1546","14:29:14.78","+15:46:26.4,+15:46:26.40","Ic BL","","16","",""
"SN2013ez","2013/02/15","","A025400+1323","02:53:56.70,02:54:00.7,02:54:00.70,02:53:56.64","+13:23:13.6,+13:23:43.7,+13:23:43.69,+13:23:13.2","Ic BL","","1","",""
"SN2018fip","2018/07/28","","","16:54:15.75,16:54:15.750","-54:02:39.27","Ic BL","","","",""
