2456145.9    KAIT       I    15.154  0.038
2456147.9    KAIT       I    15.058  0.036
2456148.9    KAIT       I    15.039  0.023
2456145.5    LT         i    15.521  0.01
2456146.5    LT         i    15.491  0.01
2456147.5    LT         i    15.455  0.02
2456148.5    LT         i    15.445  0.01
2456149.5    LT         i    15.418  0.01
2456152.5    LT         i    15.405  0.01
2456148.8    MLO        I    14.985  0.02
2456150.8    MLO        I    14.945  0.03
2456151.8    MLO        I    14.935  0.02
2456153.9    MLO        I    14.935  0.03
2456145.4    WISE-LAIWO I    15.125  0.08
2456146.45   WISE-LAIWO I    15.095  0.03
2456147.45   WISE-LAIWO I    15.045  0.04
2456148.45   WISE-LAIWO I    15.045  0.03
2456150.4    WISE-LAIWO I    14.963  0.03
2456151.4    WISE-LAIWO I    14.940  0.03
2456152.4    WISE-LAIWO I    14.995  0.04
2456153.4    WISE-LAIWO I    14.985  0.03
2456146.425  UKIRT      Z    14.77   0.078
2456146.428  UKIRT      Z    14.73   0.079
2456147.510  UKIRT      Z    14.68   0.083
2456148.475  UKIRT      Z    14.64   0.082
2456149.441  UKIRT      Z    14.6    0.083
2456150.484  UKIRT      Z    14.59   0.081
2456151.472  UKIRT      Z    14.57   0.084
2456145.5049 UKIRT      Y    15.234  0.055
2456146.4221 UKIRT      Y    15.189  0.056
2456147.4958 UKIRT      Y    15.152  0.050
2456148.4515 UKIRT      Y    15.103  0.056
2456149.4325 UKIRT      Y    15.085  0.055
2456150.461  UKIRT      Y    15.058  0.053
2456151.453  UKIRT      Y    15.022  0.057
2456145.5094 UKIRT      H    15.095  0.035
2456146.4266 UKIRT      H    15.038  0.038
2456147.5003 UKIRT      H    14.991  0.034
2456147.456  UKIRT      H    14.967  0.037
2456149.4371 UKIRT      H    14.934  0.036
2456150.4655 UKIRT      H    14.878  0.044
2456151.4575 UKIRT      H    14.856  0.040
2456145.5072 UKIRT      J    15.089  0.033
2456146.4244 UKIRT      J    15.025  0.033
2456147.4981 UKIRT      J    14.969  0.033
2456148.4538 UKIRT      J    14.936  0.028
2456149.4359 UKIRT      J    14.889  0.033
2456150.4632 UKIRT      J    14.863  0.029
2455151.456  UKIRT      J    14.831  0.032
2456145.5109 UKIRT      K    14.99   0.038
2456146.4288 UKIRT      K    14.924  0.037
2456147.5026 UKIRT      K    14.879  0.043
2456148.4589 UKIRT      K    14.845  0.040
2456149.4393 UKIRT      K    14.84   0.044
2456150.4678 UKIRT      K    14.74   0.037
2456151.4606 UKIRT      K    14.711  0.042
2456146.7864 Swift      UVW2 17.829  0.093
2456150.4470 Swift      UVW2 17.830  0.068
2456146.7994 Swift      UVM2 17.824  0.06
2456150.4502 Swift      UVM2 18.018  0.06
2456139.6025 Swift      UVw1 16.861  0.045
2456146.7816 Swift      UVw1 17.343  0.103
2456150.4518 Swift      UVw1 17.554  0.092
