3457.537    3457.537    -3457.537   3.3873e-03  2489.7489       
267459.896  26042.288   -26042.288  7.4573e-03  1366.4785       
367688.768  393.646     -393.646    1.9540e-02  787.2922        
466058.878  423.734     -423.734    9.4840e-03  847.4674        
476296.375  323.442     -323.442    1.3373e-02  646.8834        
522402.999  6256.850    -6256.850   4.2848e-03  3981.5924       
706040.563  440.031     -440.031    1.2518e-02  880.0623        
791754.319  6042.747    -6042.747   9.1249e-03  1198.4894       
838282.450  559.128     -559.128    7.1665e-03  1118.2558       
920811.875  8870.554    -8870.554   7.2079e-03  1557.0333       
1058528.866 3211.524    -3211.524   7.5180e-03  1399.0734       
1142873.916 765.980     -765.980    7.0825e-03  1531.9603       
3362916.254 40684.754   -40684.754  3.0036e-03  3472.6105
