sn2007gr  18.0  -6900       350
sn2007gr  20.0  -6700       350
sn2007gr  24.0  -6700       330
sn2007gr  25.0  -6700       370
sn2007gr  42.0  -6700       350
sn2007gr  45.0  -6600       320
sn2007gr  47.0  -6600       320
sn2007gr  49.0  -6600       340
sn2007gr  53.0  -6500       360
sn2011bm  -7.6  -8800      1600
sn2011bm  -2.9  -7400       960
sn2011bm  -0.9  -7300      1400
sn2011bm   3.0  -7700       720
sn2011bm  16.4  -8800      1200
sn2011bm  30.3  -7300       920
sn2011bm  49.8  -4800      1200
sn2011bm  60.8  -5600       700
PTF12gzk -10.2 -31000      1800
PTF12gzk  -5.2 -33000      4300
PTF12gzk  -4.2 -26000       700
PTF12gzk  -0.3 -21000      1300
PTF12gzk   1.7 -20000      1000
PTF12gzk   2.7 -19000       870
PTF12gzk   3.6 -19000       940
PTF12gzk   5.6 -18000       910
sn2013dk  -1.0 -13000      4100
sn1998bw  -9.2 -26000 4800 4800
sn1998bw  -8.2 -23000 3900 3900
sn1998bw  -5.2 -19000 4600 4600
sn1998bw  -4.2 -19000 4800 4800
sn1998bw  -3.2 -19000 4800 4800
sn1998bw  -1.2 -17000 4700 4800
sn1998bw   0.8 -16000 3900 3900
sn1998bw   1.8 -17000 2800 2900
sn1998bw   3.8 -17000 2200 2200
sn1998bw   6.8 -17000 2000 2000
sn1998bw   8.8 -16000 1600 3100
sn1998bw   9.8 -18000 2700 2400
sn1998bw  10.8 -15000 2400 2600
sn1998bw  16.8 -15000 1600 1600
sn1998bw  19.8 -13000 1300 1300
sn1998bw  26.8 -13000  870  880
sn1998bw  42.8 -11000  270  320
sn1998bw  49.8 -14000  760  740
sn2003dh  -9.8 -29000 4800 4800
sn2003dh  -9.0 -28000 4800 4800
sn2003dh  -8.1 -25000 4000 4500
sn2003dh  -7.3 -24000 3900 3900
sn2003dh  -6.4 -22000 4600 4600
sn2003dh   5.6 -16000 2100 2100
sn2003dh  12.4 -12000 2800 2700
sn2003dh  14.1 -19000 2800 2900
sn2003dh  30.4 -19000 1100 1100
sn2003dh  56.1  -8600 1100 1100
sn2003lw  -2.0 -16000 4800 4800
sn2003lw   7.1 -16000 2600 3300
sn2006aj  -7.0 -20000 3900 3900
sn2006aj  -6.2 -19000 4700 4700
sn2006aj  -6.0 -23000 4600 4600
sn2006aj  -5.2 -20000 4600 4600
sn2006aj  -5.0 -21000 4600 4600
sn2006aj  -4.2 -23000 6200 4900
sn2006aj  -3.2 -24000 4800 4800
sn2006aj  -3.0 -23000 4800 4800
sn2006aj  -2.2 -23000 4700 4700
sn2006aj  -2.0 -23000 4700 4700
sn2006aj  -1.2 -21000 4700 4700
sn2006aj  -1.0 -19000 4700 5300
sn2006aj  -0.2 -23000 3900 3900
sn2006aj   0.0 -21000 3900 3900
sn2006aj   1.0 -18000 3900 4100
sn2006aj   1.8 -20000 2800 2800
sn2006aj   2.0 -22000 2800 2800
sn2006aj   2.8 -20000 3100 2800
sn2006aj   3.0 -21000 2800 2800
sn2006aj   4.0 -21000 2200 2200
sn2006aj   5.0 -20000 2200 2200
sn2006aj   6.0 -19000 2000 2000
sn2006aj   8.0 -21000 1100 1100
sn2006aj   9.0 -21000 1200 1200
sn2006aj  10.0 -19000 2400 2400
sn2009bb  -5.3 -23000 4600 4600
sn2009bb  -4.4 -24000 4900 4800
sn2009bb   0.6 -17000 3900 4000
sn2009bb   4.5 -16000 2200 2200
sn2009bb  14.6 -17000 2600 2600
sn2009bb  15.6 -17000 1600 1600
sn2009bb  19.6 -17000 1300 1300
sn2009bb  20.6 -16000 1400 1300
sn2009bb  23.6 -14000 1200 1200
sn2009bb  27.6 -14000  810  830
sn2009bb  41.5  -9500  310  310
sn2009nz   0.0 -19000 3900 3900
sn2010bh  -4.4 -49000 4900 4900
sn2010bh  -3.5 -45000 4900 4800
sn2010bh  -2.5 -46000 4800 4800
sn2010bh  -0.7 -46000 4800 4800
sn2010bh   0.3 -41000 3900 3900
sn2010bh   1.2 -41000 5200 4000
sn2010bh   1.2 -39000 4000 4000
sn2010bh   2.2 -38000 2800 2800
sn2010bh   4.1 -36000 2200 2200
sn2010bh   5.9 -37000 2100 2100
sn2010bh   7.8 -37000 1200 1200
sn2010bh   9.7 -30000 2400 2400
